,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
1958,운동화,25400.0,173800.0,139.8,1470.6,0.59,0.91,15,3
1976,운동복,5530.0,32600.0,87.3,1368.8,1.69,4.51,15,3
1983,스포츠브랜드,2560.0,10400.0,11.1,86.9,0.46,0.89,15,3
1989,후드니트,1130.0,14900.0,3.9,26.1,0.36,0.19,15,3
1991,츄리닝,3490.0,18900.0,13.2,164.0,0.41,0.95,15,3
1996,후드원피스,1520.0,19700.0,3.7,91.8,0.26,0.51,15,3
1998,블레이저,5680.0,37300.0,2.9,3.7,0.06,0.02,15,3
2038,남자운동복,1480.0,5690.0,21.1,168.3,1.53,3.21,15,3
2075,윈드브레이커,7120.0,36100.0,5.3,108.3,0.08,0.32,15,3
2096,트레이닝복세트,4800.0,27700.0,19.8,237.0,0.44,0.92,15,3
2133,남자니트,8820.0,55600.0,62.4,350.5,0.75,0.67,15,3
2134,남성니트,2890.0,14800.0,21.4,84.7,0.79,0.61,15,3
2135,남자가디건,6920.0,46700.0,32.7,236.8,0.52,0.56,15,3
2137,여성가디건,4650.0,45300.0,43.1,246.3,1.01,0.61,15,3
2138,남성가디건,2330.0,11600.0,14.3,99.0,0.66,0.94,15,3
2139,남자티셔츠,2260.0,14900.0,15.5,75.5,0.76,0.55,15,3
2140,남자스웨터,1170.0,5780.0,8.1,37.0,0.72,0.68,15,3
2141,남자코트,9170.0,53000.0,41.6,398.5,0.48,0.78,15,3
2143,남자청자켓,1030.0,8450.0,5.5,44.8,0.58,0.59,15,3
2144,남자니트조끼,1540.0,9400.0,6.5,33.5,0.46,0.39,15,3
2146,까르뜨블랑슈,1220.0,4510.0,3.8,28.2,0.34,0.68,15,3
2148,남자아우터,4060.0,17500.0,39.2,237.2,1.02,1.42,15,3
2149,남자니트브랜드,1150.0,5370.0,3.4,1.3,0.31,0.03,15,3
2151,남성자켓,4100.0,19000.0,35.3,130.0,0.92,0.73,15,3
2153,여자가디건,1240.0,10400.0,7.9,18.3,0.69,0.2,15,3
2154,남성티셔츠,2990.0,17700.0,23.9,130.3,0.86,0.8,15,3
2160,니트가디건,3760.0,41300.0,24.7,184.0,0.71,0.49,15,3
2161,블라우스,4790.0,43100.0,33.1,205.5,0.75,0.53,15,3
2164,남자터틀넥,1010.0,4580.0,3.6,21.7,0.38,0.51,15,3
2166,명품사이트,3650.0,19000.0,84.5,790.8,2.46,4.44,15,3
2172,남자맨투맨,7790.0,54800.0,40.5,445.4,0.56,0.88,15,3
2175,남성코트,3090.0,15800.0,15.1,142.2,0.52,0.94,15,3
2201,남자캐시미어니트,1020.0,6280.0,8.5,42.0,0.87,0.7,15,3
2288,아가일니트,1010.0,7860.0,1.7,9.5,0.18,0.13,15,3
2296,남자폴라티,1130.0,5990.0,9.4,63.8,0.85,1.13,15,3
2305,남자조끼,1620.0,10400.0,5.9,40.3,0.38,0.41,15,3
2389,남자목티,1450.0,8150.0,12.1,80.3,0.87,1.03,15,3
2390,남자목폴라,2080.0,11300.0,11.8,73.7,0.59,0.68,15,3
2405,남자가을코디,1730.0,7120.0,13.1,96.7,0.85,1.53,15,3
2417,오버핏니트,1230.0,9630.0,3.9,10.6,0.33,0.12,15,3
2471,남자집업가디건,1210.0,5040.0,4.4,17.9,0.39,0.39,15,3
2478,남자니트집업,1030.0,9620.0,5.7,72.0,0.58,0.8,15,3
2480,커플니트,1170.0,8880.0,7.4,147.6,0.66,1.74,15,3
2504,남성조끼,1450.0,7680.0,9.6,42.1,0.7,0.59,15,3
2505,꽈배기니트,2780.0,26600.0,8.4,36.0,0.32,0.15,15,3
2514,카라니트,1760.0,16200.0,3.4,6.7,0.21,0.05,15,3
2530,집업니트,2500.0,20200.0,7.1,40.9,0.31,0.22,15,3
2533,폴로꽈배기니트,1450.0,15000.0,6.5,84.7,0.48,0.61,15,3
2551,반집업니트,3360.0,26900.0,17.9,365.1,0.56,1.45,15,3
2553,브이넥니트,2750.0,31200.0,7.5,45.9,0.29,0.16,15,3
2576,터틀넥,4540.0,22400.0,8.6,56.9,0.2,0.27,15,3
2581,져지,1120.0,5750.0,1.2,2.3,0.12,0.05,15,3
2636,니트집업,3490.0,26800.0,8.3,104.3,0.26,0.43,15,3
2638,남자긴팔티셔츠,1340.0,7130.0,7.4,47.4,0.6,0.74,15,3
2643,남자블레이저,1620.0,8970.0,9.0,77.5,0.61,0.95,15,3
2645,남자후드집업,1370.0,8970.0,8.2,56.8,0.63,0.69,15,3
2647,트러커자켓,1360.0,7480.0,1.5,4.3,0.13,0.07,15,3
2654,터틀넥니트,1480.0,13500.0,5.1,27.8,0.36,0.22,15,3
2665,남성백팩,1320.0,7320.0,8.0,61.5,0.64,0.91,15,3
2667,남자후드티,4460.0,28100.0,28.3,233.0,0.68,0.89,15,3
2670,유니클로니트,1210.0,7900.0,1.1,3.0,0.1,0.05,8,2
2672,유니클로가디건,1280.0,9590.0,4.1,89.8,0.35,1.04,15,3
2674,니트조끼,6300.0,76700.0,32.1,394.5,0.55,0.56,15,3
2683,남자바람막이,2080.0,9300.0,9.0,54.3,0.47,0.66,15,3
2706,퀼팅점퍼,3170.0,31400.0,5.7,45.2,0.19,0.16,15,3
2707,퀼팅자켓,6520.0,61100.0,11.4,91.0,0.19,0.16,15,3
2708,코듀로이자켓,2050.0,16200.0,6.5,2.0,0.35,0.02,15,3
2710,기모후드,1320.0,7440.0,3.9,39.9,0.32,0.57,15,3
2711,맥코트,2680.0,13000.0,1.6,1.7,0.07,0.02,15,3
2712,롱코트,3170.0,25400.0,7.2,64.4,0.24,0.27,15,3
2713,남자기모바지,2710.0,11900.0,23.1,147.6,0.88,1.29,15,3
2715,청자켓,2600.0,23100.0,6.4,21.4,0.27,0.11,15,3
2717,남자퀼팅자켓,1270.0,6680.0,2.1,7.2,0.17,0.12,15,3
2719,남성겨울코트,1060.0,5180.0,6.0,49.0,0.59,1.0,15,3
2720,남성경량패딩,4910.0,30800.0,34.5,204.0,0.74,0.7,15,3
2736,남자코트브랜드,1580.0,7290.0,3.7,5.3,0.25,0.08,15,3
2738,남자기모청바지,2170.0,13500.0,26.9,140.5,1.28,1.08,15,3
2741,남성맨투맨,3690.0,26500.0,19.1,131.4,0.56,0.54,15,3
2743,남성기모바지,3370.0,19000.0,43.5,229.0,1.34,1.26,15,3
2758,남자겨울코트,1670.0,6760.0,10.5,63.2,0.66,0.97,15,3
2760,노트북백팩,3280.0,10800.0,12.3,107.2,0.4,1.06,15,3
2765,슬링백,9780.0,64000.0,12.2,232.4,0.14,0.4,15,3
2766,직장인백팩,1210.0,8480.0,5.7,61.3,0.5,0.77,15,3
2774,남자토트백,3180.0,14800.0,11.3,92.7,0.38,0.68,15,3
2777,남자백팩,3730.0,19200.0,11.7,122.0,0.34,0.68,15,3
2781,가디건,13800.0,119800.0,34.1,353.5,0.27,0.33,15,3
2784,여성점퍼,1780.0,19600.0,12.8,163.5,0.78,0.9,15,3
2796,캐시미어니트,5970.0,60100.0,56.5,689.6,1.01,1.22,15,3
2798,기모청바지,3270.0,25700.0,20.5,173.9,0.64,0.69,15,3
2799,남성가방,1360.0,6300.0,9.5,53.1,0.74,0.92,15,3
2802,항공점퍼,10000.0,82200.0,53.5,732.3,0.57,0.96,15,3
2803,캐시미어가디건,1320.0,12800.0,11.8,105.0,0.97,0.9,15,3
2811,울코트,2960.0,23500.0,10.1,20.8,0.36,0.1,15,3
2813,여성니트조끼,1770.0,17000.0,15.3,88.2,0.94,0.57,15,3
