,키워드 ID,상태,키워드,키워드 속성,입찰가 유형,입찰가,품질지수,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",노출가능 광고개수(PC),키워드 검색수,검색 상단 노출율(%)
35,nkw-a001-01-000004934219329,중지 : 키워드 검토중,노트북대여,,키워드,11770.0,4.0,0,0,0,0,0,15.0,,0.0
36,nkw-a001-01-000004934219276,중지 : 키워드 검토중,대용량USB,,키워드,4600.0,4.0,0,0,0,0,0,15.0,,0.0
37,nkw-a001-01-000004934219291,중지 : 키워드 검토중,도시바,,키워드,1010.0,4.0,0,0,0,0,0,15.0,,0.0
38,nkw-a001-01-000004934219289,중지 : 키워드 검토중,도시바외장하드,,키워드,1000.0,4.0,0,0,0,0,0,15.0,,0.0
39,nkw-a001-01-000004934219314,중지 : 키워드 검토중,도킹스테이션,,키워드,2380.0,4.0,0,0,0,0,0,15.0,,0.0
40,nkw-a001-01-000004934219261,중지 : 키워드 검토중,동글,,키워드,560.0,4.0,0,0,0,0,0,15.0,,0.0
41,nkw-a001-01-000004934219341,중지 : 키워드 검토중,드라이버,,키워드,1850.0,4.0,0,0,0,0,0,15.0,,0.0
42,nkw-a001-01-000004934219347,중지 : 키워드 검토중,드라이브,,키워드,630.0,4.0,0,0,0,0,0,15.0,,0.0
43,nkw-a001-01-000004934219269,중지 : 키워드 검토중,맥북외장하드,,키워드,1300.0,4.0,0,0,0,0,0,15.0,,0.0
44,nkw-a001-01-000004934219320,중지 : 키워드 검토중,모니터,,키워드,4360.0,4.0,0,0,0,0,0,15.0,,0.0
45,nkw-a001-01-000004934219382,중지 : 키워드 검토중,모니터27인치,,키워드,1280.0,4.0,0,0,0,0,0,15.0,,0.0
46,nkw-a001-01-000004934219380,중지 : 키워드 검토중,모니터32인치,,키워드,1400.0,4.0,0,0,0,0,0,15.0,,0.0
47,nkw-a001-01-000004934219370,중지 : 키워드 검토중,모니터추천,,키워드,2840.0,4.0,0,0,0,0,0,15.0,,0.0
48,nkw-a001-01-000004934219268,중지 : 키워드 검토중,모자종류,,키워드,450.0,4.0,0,0,0,0,0,15.0,,0.0
49,nkw-a001-01-000004934219335,중지 : 키워드 검토중,모터,,키워드,3490.0,4.0,0,0,0,0,0,15.0,,0.0
50,nkw-a001-01-000004934219257,중지 : 키워드 검토중,무선,,키워드,1740.0,4.0,0,0,0,0,0,15.0,,0.0
51,nkw-a001-01-000004934219286,중지 : 키워드 검토중,바라쿠다,,키워드,1170.0,4.0,0,0,0,0,0,15.0,,0.0
52,nkw-a001-01-000004934219364,중지 : 키워드 검토중,반도체장비,,키워드,6380.0,4.0,0,0,0,0,0,15.0,,0.0
53,nkw-a001-01-000004934219318,중지 : 키워드 검토중,발워머,,키워드,850.0,4.0,0,0,0,0,0,15.0,,0.0
