연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
오프숄더,1350.0,8740.0,1.5,0.7,0.12,0.01,15,3
수영복,14800.0,105700.0,243.4,1845.7,1.71,1.88,15,3
스판덱스,1100.0,1410.0,0.3,0.7,0.04,0.06,9,2
시밀러룩,4140.0,39700.0,112.7,1219.6,2.85,3.31,15,3
시스루,1440.0,8350.0,1.5,4.0,0.11,0.06,15,3
등산복,8280.0,54700.0,65.9,750.0,0.83,1.47,15,3
래쉬가드,6580.0,50100.0,114.9,781.3,1.82,1.7,15,3
루즈핏,1460.0,8710.0,1.4,9.3,0.11,0.12,15,3
77사이즈,1110.0,7050.0,36.7,326.1,3.42,5.0,15,3
힙플라스크,1040.0,4120.0,0.8,1.7,0.08,0.05,13,2
의류,2400.0,4340.0,6.4,6.4,0.28,0.16,15,3
트위드,3400.0,18600.0,4.3,19.8,0.14,0.12,15,3
