연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
아키클래식운동화,1530.0,17900.0,10.0,519.9,0.68,3.13,15,3
발편한운동화,2650.0,23600.0,22.1,512.9,0.86,2.35,15,3
나이키여성운동화,2400.0,28000.0,23.5,390.9,1.03,1.53,15,3
나이키바지,3090.0,34700.0,17.5,305.3,0.6,0.96,15,3
나이키베이퍼맥스,1670.0,15800.0,12.3,254.5,0.79,1.75,15,3
나이키비니,960.0,9600.0,2.5,81.4,0.27,0.92,15,3
나이키코르테즈,4910.0,50500.0,60.5,1177.5,1.29,2.55,15,3
나이키테크팩,1910.0,22000.0,9.8,109.7,0.55,0.55,15,3
나이키트레이닝바지,1880.0,17600.0,9.9,99.2,0.56,0.61,15,3
나이키운동복,1200.0,8320.0,9.3,91.0,0.8,1.18,15,3
나이키백팩,2580.0,27600.0,13.9,171.0,0.57,0.68,15,3
나이키에어맥스90,1560.0,13100.0,9.1,118.5,0.62,0.99,15,3
나이키레깅스,1170.0,11200.0,7.4,105.5,0.67,1.01,15,3
나이키트레이닝세트,920.0,13000.0,6.5,166.1,0.73,1.39,15,3
나이키덩크로우,6300.0,86700.0,56.3,1318.4,0.94,1.66,15,3
나이키스포츠브라,810.0,8270.0,3.2,64.7,0.42,0.85,15,3
나이키에어포스107,2490.0,23200.0,23.3,354.1,0.99,1.67,15,3
나이키에어맥스97,5240.0,55600.0,44.3,599.0,0.89,1.18,15,3
나이키조거팬츠,4200.0,42600.0,25.8,313.3,0.64,0.8,15,3
조던1시카고,970.0,4500.0,2.2,10.2,0.26,0.26,9,2
나이키뽀글이,1520.0,21400.0,9.9,125.2,0.67,0.63,13,2
나이키드라이핏,1020.0,5490.0,4.9,66.6,0.52,1.31,15,3
나이키윈드러너,1050.0,8330.0,3.3,42.1,0.33,0.56,15,3
조던신발,1190.0,16000.0,9.6,345.6,0.85,2.34,15,3
나이키줌보메로5,1180.0,8180.0,15.6,317.0,1.35,4.09,13,2
덩크,1000.0,6090.0,6.6,55.5,0.69,0.99,15,3
맥스97,1240.0,9180.0,11.4,105.5,0.96,1.26,15,3
나이키리액트,1360.0,12200.0,3.7,48.7,0.29,0.44,15,3
나이키에어,2400.0,23000.0,9.7,154.4,0.43,0.74,15,3
나이키에어포스올백,940.0,7670.0,12.9,146.0,1.45,2.08,15,3
나이키우븐팬츠,1010.0,7140.0,3.8,14.1,0.4,0.22,15,3
바이셀도쿄,810.0,2940.0,0.0,1.0,0.0,0.04,3,3
나이키후리스,6010.0,78800.0,16.7,540.7,0.29,0.73,15,3
피마원,870.0,4600.0,1.0,0.3,0.12,0.01,9,2
폴로셔츠,5200.0,41200.0,38.3,472.3,0.77,1.27,15,3
코르테즈,1830.0,16200.0,17.7,440.8,1.01,2.96,15,3
나이키모자,5330.0,66800.0,26.4,694.5,0.53,1.12,15,3
나이키스우시,1480.0,11900.0,3.9,48.7,0.28,0.45,15,3
덩크로우,3100.0,28000.0,36.8,774.0,1.25,3.04,15,3
나이키테일윈드,1540.0,8640.0,8.8,143.4,0.61,1.81,15,3
나이키팬츠,900.0,7360.0,4.5,69.0,0.52,1.03,15,3
에어팟3,5790.0,25200.0,25.3,304.0,0.46,1.29,15,3
나이키NRG,1240.0,5590.0,9.5,4.0,0.81,0.08,12,2
나이키힙색,1970.0,21400.0,6.9,63.7,0.36,0.33,15,3
에어팟,40300.0,223900.0,87.5,2119.8,0.23,1.02,15,3
나이키반바지,1290.0,9450.0,6.1,142.6,0.5,1.66,15,3
조던,5140.0,47300.0,15.7,530.8,0.33,1.23,15,3
베이퍼맥스,1460.0,11600.0,9.2,206.3,0.66,1.93,15,3
크록스,81400.0,697800.0,220.2,3707.4,0.29,0.58,15,3
크록스바야밴드,1940.0,28300.0,8.6,180.5,0.47,0.69,15,3
지센,5340.0,33600.0,33.5,332.5,0.66,1.07,15,3
크록스슬리퍼,5970.0,67300.0,39.3,1172.8,0.69,1.91,15,3
금강제화,15000.0,71900.0,87.0,757.8,0.61,1.16,15,3
크록스지비츠,5730.0,56500.0,23.7,704.5,0.43,1.37,15,3
닥스,16900.0,92600.0,88.6,1181.3,0.56,1.39,15,3
크록스클래식라인드클로그,1210.0,8330.0,10.1,29.4,0.86,0.38,15,3
커터앤벅,1200.0,13800.0,11.1,203.5,0.95,1.62,15,3
모조에스핀,5680.0,58100.0,10.1,82.3,0.19,0.16,15,3
JDX,4820.0,19600.0,9.0,79.1,0.2,0.44,15,3
크록스클로그,1170.0,11900.0,5.7,52.0,0.52,0.48,15,3
그녀희제,4060.0,14600.0,50.7,213.6,1.3,1.58,15,3
헤지스,22200.0,113800.0,113.6,1158.7,0.54,1.12,15,3
크록스겨울,1210.0,7620.0,11.0,121.5,0.94,1.73,15,3
CROCS,900.0,6910.0,3.7,101.5,0.45,1.59,15,3
겨울크록스,3580.0,35400.0,13.8,326.0,0.4,0.99,15,3
크록스털신,1600.0,15700.0,9.5,151.2,0.61,1.04,15,3
크록스라이트라이드,1780.0,15000.0,6.5,208.0,0.39,1.5,15,3
크록스부츠,1560.0,22600.0,4.7,143.7,0.32,0.68,15,3
크록스사이즈,1850.0,11800.0,1.9,41.0,0.11,0.38,15,3
잭오랜턴,4880.0,29100.0,2.3,96.7,0.05,0.35,15,3
네파키즈,2290.0,23900.0,31.2,423.7,1.4,1.9,15,3
크록스키즈,1370.0,25300.0,9.5,341.3,0.72,1.47,15,3
행텐주니어,990.0,11900.0,3.5,71.8,0.36,0.65,15,3
엄마옷데드라,1840.0,10500.0,45.9,162.4,2.66,1.68,15,3
김여사,1900.0,8960.0,98.5,156.0,5.4,1.88,15,3
페이퍼플레인,1690.0,8820.0,5.3,62.1,0.33,0.77,15,3
더아이잗,1670.0,14800.0,7.5,136.5,0.48,1.01,15,3
아이스비스킷,4130.0,73500.0,19.2,855.5,0.48,1.25,15,3
락포트,11300.0,60200.0,26.1,188.2,0.25,0.35,15,3
도이터,2270.0,6680.0,2.3,41.4,0.11,0.68,15,3
MLB키즈,5150.0,91000.0,16.5,600.3,0.34,0.71,15,3
첨이첨이,1130.0,9870.0,2.9,44.0,0.27,0.48,15,3
지프,23000.0,112700.0,15.8,330.8,0.08,0.33,15,3
제이앤제나,1200.0,8840.0,3.3,25.7,0.28,0.32,6,2
프레드페리,4270.0,26300.0,7.1,63.5,0.18,0.27,15,3
쥬시쥬디,3840.0,48200.0,36.3,883.0,0.99,2.0,15,3
비키,1710.0,14200.0,5.4,58.5,0.34,0.44,15,3
앤드지,5820.0,22900.0,10.4,109.7,0.19,0.53,15,3
JDX여성골프웨어,910.0,11700.0,9.9,186.3,1.14,1.73,15,3
크록스털슬리퍼,4200.0,33000.0,29.4,466.5,0.72,1.53,15,3
트루젠,1540.0,5370.0,4.4,14.3,0.31,0.3,15,3
올젠바지,1020.0,8330.0,4.6,71.8,0.48,0.95,15,3
폴햄,18800.0,110000.0,28.1,374.0,0.16,0.37,15,3
머렐,5400.0,27200.0,25.7,214.3,0.51,0.89,15,3
SATIN,1100.0,3870.0,1.1,8.9,0.11,0.26,15,3
파크랜드,10600.0,40200.0,50.8,484.3,0.51,1.32,15,3
금강제화구두,850.0,6160.0,8.6,119.3,1.06,2.1,15,3
금강제화세일,2050.0,10400.0,29.6,259.9,1.51,2.71,15,3
시티즌,2660.0,9270.0,3.5,42.0,0.14,0.49,15,3
블랙야크트레킹화,1380.0,10500.0,8.1,135.9,0.62,1.41,15,3
올리비아로렌,6850.0,68000.0,80.5,1197.7,1.23,1.91,15,3
블랙야크바람막이,1210.0,9000.0,9.9,71.3,0.86,0.87,15,3
ANDZ,1970.0,10400.0,4.4,66.8,0.24,0.72,15,3
MINIMUM,1190.0,2760.0,0.9,17.6,0.08,0.69,12,2
탑텐,170300.0,997600.0,73.7,32.7,0.05,0.01,15,3
JDX남성골프웨어,2270.0,12000.0,16.7,171.3,0.77,1.56,15,3
지오지아,16600.0,68700.0,8.4,6.7,0.06,0.02,15,3
머렐경량패딩,950.0,11900.0,4.4,65.5,0.49,0.6,15,3
남자발목양말,1920.0,12300.0,11.2,197.3,0.61,1.72,15,3
요술버선,1060.0,5530.0,4.7,83.6,0.46,1.6,15,3
버선,1050.0,4360.0,1.4,31.0,0.14,0.76,15,3
로퍼,8250.0,70400.0,27.1,531.8,0.35,0.82,15,3
여성운동화,4980.0,53400.0,49.5,607.6,1.04,1.24,15,3
런닝화,7940.0,55500.0,50.3,567.0,0.66,1.11,15,3
여성키높이운동화,930.0,9830.0,16.1,126.0,1.78,1.39,15,3
남성트레이닝세트,1980.0,12700.0,16.6,90.0,0.87,0.77,15,3
아웃도어프로덕트,3800.0,29000.0,43.4,535.6,1.19,2.01,15,3
레깅스,7820.0,56400.0,119.5,1210.1,1.6,2.3,15,3
남자운동화,5430.0,34500.0,41.6,355.8,0.81,1.13,15,3
다이얼운동화,1600.0,10600.0,13.1,184.7,0.86,1.87,15,3
트레이닝세트,5880.0,70300.0,41.1,820.9,0.74,1.27,15,3
러닝화,3740.0,21400.0,18.1,235.5,0.51,1.19,15,3
신발사이트,1900.0,9590.0,53.6,448.3,2.98,5.09,15,3
키높이스니커즈,2490.0,25900.0,40.8,284.8,1.71,1.2,15,3
어글리슈즈,3580.0,27100.0,21.3,502.9,0.63,2.01,15,3
키높이운동화,3350.0,41000.0,50.5,562.5,1.57,1.5,15,3
남자트레이닝복,2200.0,12300.0,22.9,142.0,1.1,1.26,15,3
운동화추천,2370.0,13300.0,13.0,122.0,0.57,1.0,15,3
커플신발,1460.0,9940.0,5.3,63.1,0.39,0.69,15,3
남성신발,1580.0,5730.0,16.6,38.5,1.11,0.74,15,3
여성슬립온,1280.0,13300.0,13.1,57.8,1.06,0.47,15,3
여자운동화추천,930.0,7090.0,4.6,43.3,0.52,0.67,15,3
치마,2010.0,17800.0,7.3,73.6,0.39,0.45,15,3
런닝화추천,1750.0,7690.0,5.5,88.6,0.33,1.25,15,3
여성구두,3330.0,29500.0,74.6,489.8,2.33,1.81,15,3
운동화브랜드,810.0,4790.0,4.0,35.8,0.51,0.82,15,3
볼캡,3330.0,21600.0,8.2,149.5,0.26,0.76,15,3
정장구두,1210.0,5250.0,4.4,29.6,0.39,0.62,15,3
러닝화추천,1190.0,5180.0,5.2,51.8,0.46,1.08,15,3
헬스운동화,1250.0,8650.0,5.9,99.6,0.48,1.24,15,3
헬스화,970.0,4050.0,3.3,46.0,0.36,1.22,15,3
헬스장운동화,950.0,6430.0,1.8,70.1,0.2,1.17,15,3
발볼넓은운동화,1830.0,13500.0,12.7,196.5,0.73,1.58,15,3
커플템,1050.0,7350.0,1.3,37.7,0.14,0.55,15,3
워킹화,3990.0,20800.0,19.5,217.8,0.52,1.13,15,3
MONARCH,970.0,2940.0,0.0,0.5,0.0,0.02,3,3
키높이깔창,2260.0,15200.0,8.1,161.5,0.38,1.15,15,3
여성트레킹화,1520.0,11600.0,11.3,171.3,0.77,1.6,15,3
프리미엄스니커즈,2240.0,7130.0,3.3,1.9,0.16,0.03,15,3
코오롱스포츠등산화,810.0,5630.0,3.6,49.1,0.47,0.97,15,3
경등산화,1290.0,4600.0,3.5,44.3,0.29,1.05,15,3
블랙야크등산화,2680.0,21000.0,14.6,292.8,0.57,1.51,15,3
네파트레킹화,1230.0,13000.0,11.1,186.8,0.94,1.54,15,3
네파등산화,2390.0,19300.0,11.3,304.5,0.5,1.71,15,3
중등산화,890.0,3940.0,3.7,56.9,0.43,1.57,15,3
남성캐주얼화,920.0,3290.0,6.4,22.4,0.74,0.76,15,3
컴포트화,830.0,3450.0,4.6,37.3,0.58,1.17,15,3
김영주골프,1330.0,9270.0,13.8,240.0,1.08,2.8,15,3
털운동화,920.0,7820.0,4.5,36.8,0.51,0.51,15,3
남자트레킹화,2020.0,7200.0,14.3,124.0,0.75,1.88,15,3
페니로퍼,1270.0,6680.0,1.6,16.7,0.14,0.28,15,3
역도화,1610.0,7380.0,8.3,138.4,0.55,2.02,15,3
여자신발,1260.0,8620.0,17.7,163.5,1.46,2.07,15,3
스웨이드로퍼,2420.0,25700.0,5.5,9.0,0.24,0.04,15,3
드라이빙슈즈,1850.0,15200.0,3.5,65.3,0.2,0.47,15,3
여성단화,1730.0,20000.0,13.2,164.5,0.79,0.9,15,3
편한구두,820.0,4960.0,6.2,95.7,0.8,2.12,15,3
여성부츠,2520.0,25300.0,28.9,285.8,1.21,1.24,15,3
털신,3560.0,21800.0,7.8,82.8,0.23,0.41,15,3
모카신,2890.0,24200.0,9.3,83.6,0.34,0.38,15,3
웨스턴부츠,1740.0,16600.0,9.8,128.0,0.59,0.84,15,3
첼시부츠,8210.0,75400.0,24.3,353.8,0.32,0.5,15,3
블로퍼,2940.0,21300.0,11.5,157.0,0.41,0.8,15,3
더비슈즈,5090.0,23700.0,10.7,125.7,0.23,0.58,15,3
여성롱부츠,1240.0,12800.0,15.9,144.4,1.33,1.24,15,3
나이키슬리퍼,4290.0,39200.0,16.5,473.8,0.4,1.32,15,3
폴로신발,1050.0,14700.0,5.6,151.8,0.55,1.12,15,3
남자로퍼,5110.0,24600.0,20.7,148.0,0.43,0.66,15,3
여자부츠,920.0,7720.0,8.8,79.9,1.0,1.13,15,3
플랫슈즈,4060.0,43900.0,33.3,492.5,0.85,1.22,15,3
미들부츠,3270.0,29700.0,20.8,317.4,0.67,1.17,15,3
털크록스키즈,1320.0,35600.0,16.5,786.5,1.28,2.36,15,3
윙스풋,3720.0,11300.0,1.9,26.3,0.06,0.24,8,2
털블로퍼,820.0,7450.0,1.5,2.0,0.19,0.03,15,3
핏플랍슬리퍼,1000.0,11300.0,2.8,51.3,0.3,0.5,15,3
족저근막,1130.0,1170.0,0.3,5.5,0.03,0.51,15,3
남자사무실슬리퍼,970.0,2020.0,6.2,12.7,0.65,0.68,15,3
패딩슬립온,1150.0,10600.0,2.7,12.5,0.25,0.14,15,3
남성방한화,1310.0,7290.0,15.6,159.6,1.25,2.38,15,3
패딩신발,4590.0,39100.0,9.1,19.0,0.21,0.06,15,3
스웨이드부츠,1490.0,18500.0,9.1,44.5,0.64,0.26,15,3
퀼팅백,1110.0,10900.0,3.3,51.2,0.32,0.51,15,3
베어파우어그,930.0,12800.0,6.0,64.5,0.66,0.55,15,3
노스페이스패딩부츠,880.0,10400.0,5.9,178.3,0.68,1.84,15,3
여성앵글부츠,1530.0,17200.0,27.9,225.6,1.88,1.41,15,3
킬힐,2460.0,17700.0,2.4,2.3,0.11,0.02,15,3
러프넥,870.0,3310.0,5.0,74.5,0.61,2.4,15,3
목도리추천,850.0,7130.0,0.7,1.8,0.09,0.03,13,2
찜질,870.0,2890.0,1.3,4.2,0.16,0.16,15,3
캐리어,33500.0,211100.0,154.3,1619.6,0.48,0.83,15,3
여행용캐리어,5210.0,34300.0,45.5,397.1,0.91,1.25,15,3
기내용캐리어,7330.0,63300.0,32.3,397.5,0.47,0.69,15,3
여자명품가방,1110.0,10100.0,10.1,181.1,0.94,1.93,15,3
캐리어브랜드,1310.0,5740.0,5.7,64.1,0.45,1.22,15,3
남자서류가방,3040.0,15700.0,29.2,139.3,0.99,0.95,15,3
20인치캐리어,3830.0,30800.0,17.5,217.8,0.48,0.76,15,3
여행캐리어,1820.0,8320.0,13.8,114.8,0.8,1.51,15,3
여행용가방,2630.0,15000.0,17.4,111.8,0.7,0.81,15,3
28인치캐리어,3270.0,20700.0,18.1,238.0,0.58,1.25,15,3
24인치캐리어,3010.0,15800.0,14.7,168.0,0.52,1.14,15,3
캐리어20인치,1380.0,10000.0,3.9,113.2,0.3,1.22,15,3
명품가방,5960.0,80800.0,78.2,1697.4,1.37,2.29,15,3
남성클러치백,1760.0,15500.0,8.0,89.5,0.48,0.62,15,3
캐리어28인치,1840.0,10700.0,9.4,126.9,0.54,1.28,15,3
캐리어추천,2610.0,21500.0,17.5,277.0,0.71,1.39,15,3
캐리어가방,1060.0,6170.0,6.7,68.3,0.67,1.21,15,3
남자클러치백,1890.0,14400.0,5.7,55.0,0.33,0.42,15,3
명품미니백,1020.0,12300.0,4.9,141.0,0.5,1.24,15,3
명품사이트,3620.0,19300.0,84.5,790.8,2.46,4.44,15,3
명품크로스백,910.0,11000.0,4.1,120.9,0.47,1.19,15,3
케리어,3440.0,20100.0,11.2,106.8,0.34,0.57,15,3
캐리어24인치,2530.0,22000.0,15.0,249.8,0.63,1.23,15,3
캐리어세트,1300.0,9630.0,9.7,181.7,0.77,2.05,15,3
30인치캐리어,910.0,5310.0,4.3,83.8,0.5,1.7,15,3
명품백팩,890.0,8810.0,3.1,77.3,0.36,0.96,15,3
캐리어26인치,2330.0,19900.0,8.4,258.4,0.38,1.4,15,3
캐리어바퀴,910.0,5560.0,2.5,79.4,0.3,1.56,15,3
냉온풍기,2830.0,10800.0,24.3,198.4,0.88,1.94,15,3
16인치캐리어,1540.0,11800.0,11.5,215.0,0.78,1.97,15,3
기내캐리어,1000.0,5080.0,1.9,38.4,0.2,0.82,15,3
버킷백,4590.0,47900.0,8.1,212.4,0.19,0.49,15,3
기내용캐리어20인치,860.0,6390.0,4.2,110.4,0.51,1.87,15,3
미니캐리어,3660.0,28700.0,13.1,222.0,0.38,0.84,15,3
샤오미캐리어,3000.0,12800.0,8.5,153.8,0.3,1.3,15,3
기내용캐리어사이즈,3420.0,24900.0,4.5,181.0,0.14,0.79,15,3
CARRIER,3280.0,5730.0,0.5,9.5,0.02,0.18,15,3
캐리어사이즈,1990.0,8080.0,0.9,57.6,0.05,0.77,15,3
캐리어크기,1420.0,8520.0,4.0,66.3,0.3,0.85,15,3
26인치캐리어,1280.0,6380.0,7.1,74.0,0.58,1.26,15,3
18인치캐리어,1620.0,11400.0,4.5,104.2,0.3,0.99,15,3
전대,2970.0,7780.0,0.7,0.0,0.03,0.0,15,3
스위스밀리터리캐리어,2050.0,13000.0,5.6,128.4,0.29,1.07,15,3
레디백,4370.0,35100.0,8.3,211.8,0.2,0.64,15,3
트란지아,900.0,2740.0,3.4,34.0,0.4,1.35,15,3
연남동소품샵,1020.0,9950.0,0.8,0.0,0.09,0.0,12,2
헬스가방,2540.0,13800.0,8.7,199.7,0.37,1.54,15,3
캐리어스티커,1450.0,7740.0,6.6,61.3,0.48,0.87,15,3
여행용크로스백,1220.0,7000.0,5.5,42.6,0.48,0.67,15,3
여행용보스턴백,970.0,7700.0,4.3,57.7,0.46,0.82,15,3
여행준비물,2270.0,13800.0,0.7,1.0,0.04,0.01,13,2
만다리나덕캐리어,2230.0,18900.0,6.3,195.0,0.3,1.14,15,3
미니가방,1130.0,11100.0,3.5,52.4,0.33,0.52,15,3
해외여행준비물,4340.0,19500.0,1.7,1.3,0.05,0.01,13,2
여행용파우치,3000.0,15500.0,8.7,106.0,0.31,0.74,15,3
여행백팩,1350.0,7250.0,4.6,50.0,0.37,0.75,15,3
남성골프보스턴백,1380.0,7560.0,11.3,134.3,0.84,1.96,15,3
무선충전기,11100.0,36700.0,9.1,203.2,0.09,0.6,15,3
골프보스턴백,2570.0,13600.0,13.7,152.1,0.56,1.22,15,3
토부그캐리어,860.0,5780.0,10.3,136.2,1.21,2.54,15,3
브리프케이스,1810.0,6460.0,5.3,35.8,0.31,0.6,15,3
토트백,7790.0,55200.0,17.4,176.6,0.24,0.35,15,3
TIMELESS,1960.0,10900.0,1.0,5.8,0.06,0.06,4,1
이민가방,1740.0,9690.0,7.3,150.3,0.45,1.7,15,3
캐리어커버,1740.0,11200.0,9.6,94.6,0.58,0.92,15,3
가방쇼핑몰,1090.0,7990.0,28.7,394.3,2.79,5.38,15,3
노트북가방,9620.0,41400.0,24.0,313.0,0.27,0.81,15,3
여행용백팩,2400.0,15100.0,11.3,141.3,0.5,1.01,15,3
여성토트백,1610.0,17600.0,12.4,122.8,0.81,0.76,15,3
클러치,3850.0,20800.0,4.3,3.6,0.12,0.02,15,3
파우치,8620.0,47000.0,23.6,193.5,0.29,0.45,15,3
카메라백,930.0,9230.0,2.1,39.6,0.24,0.47,15,3
가방,19200.0,124300.0,67.6,621.8,0.37,0.55,15,3
가방브랜드,1690.0,8690.0,11.1,97.1,0.7,1.23,15,3
캐시미어머플러,6630.0,51200.0,26.1,360.4,0.41,0.76,15,3
명품스카프,1360.0,12700.0,8.5,160.2,0.65,1.37,15,3
머플러,11600.0,100300.0,26.3,217.5,0.24,0.24,15,3
캐시미어목도리,2300.0,14700.0,6.2,109.4,0.29,0.8,15,3
고비머플러,2420.0,20300.0,7.4,275.0,0.32,1.43,15,3
남자목도리,1850.0,14400.0,4.9,36.0,0.28,0.27,15,3
드파운드머플러,830.0,7250.0,4.8,30.8,0.6,0.46,6,2
남자머플러,1630.0,10100.0,6.1,13.7,0.39,0.15,15,3
여자목도리,920.0,5200.0,1.9,11.9,0.22,0.25,15,3
울머플러,870.0,7270.0,2.2,14.4,0.27,0.22,15,3
남자양말,5300.0,29900.0,45.8,345.3,0.91,1.24,15,3
쁘띠스카프,1940.0,23000.0,9.9,168.4,0.53,0.79,15,3
커플목도리,1020.0,8210.0,1.9,3.7,0.2,0.05,15,3
트윌리,1860.0,12500.0,5.7,5.0,0.32,0.05,15,3
머플러브랜드,860.0,5850.0,2.4,2.7,0.3,0.05,14,3
머플러매는법,1040.0,13600.0,3.7,51.8,0.37,0.41,15,3
고비캐시미어머플러,1590.0,15000.0,7.9,207.2,0.52,1.46,15,3
목도리브랜드,1710.0,14600.0,3.9,34.6,0.24,0.26,15,3
남자스카프,1190.0,7500.0,8.7,60.9,0.77,0.88,15,3
목도리매는법,1510.0,31800.0,0.8,1.0,0.06,0.01,9,2
니트장갑,1080.0,5000.0,0.9,10.4,0.09,0.22,15,3
방한양말,900.0,3990.0,3.1,18.5,0.37,0.49,15,3
머플러추천,910.0,6380.0,3.3,16.0,0.38,0.27,15,3
디파운드,830.0,4990.0,8.3,74.5,1.01,1.58,5,2
명품브랜드순위,4720.0,62100.0,12.1,731.7,0.27,1.28,15,3
스카프매는법,3650.0,46100.0,8.2,896.9,0.23,2.09,13,2
쁘띠목도리,2160.0,16600.0,2.3,14.3,0.12,0.1,15,3
체크머플러,830.0,7120.0,1.2,3.7,0.16,0.06,15,3
패딩목도리,1480.0,9510.0,2.1,3.3,0.15,0.04,15,3
숄,1860.0,16300.0,5.8,108.2,0.33,0.71,15,3
버버리목도리,2650.0,36000.0,14.0,344.3,0.56,1.03,15,3
겨울넥워머,1400.0,6950.0,7.5,129.1,0.56,1.95,15,3
나이키넥워머,1600.0,8830.0,6.1,107.2,0.4,1.29,15,3
목토시,1850.0,8890.0,4.1,21.5,0.23,0.26,15,3
방한마스크,1470.0,7270.0,5.3,92.9,0.38,1.35,15,3
겨울등산장갑,870.0,3990.0,5.6,43.2,0.66,1.17,15,3
낚시장갑,2170.0,10300.0,7.5,99.0,0.36,1.03,15,3
등산장갑,5260.0,24200.0,13.9,251.3,0.28,1.11,15,3
코팅장갑,2380.0,8730.0,13.9,217.7,0.6,2.67,15,3
자전거장갑,4930.0,21300.0,17.0,230.5,0.36,1.14,15,3
작업장갑,1060.0,4800.0,6.1,89.0,0.6,1.98,15,3
축구장갑,1540.0,7040.0,4.7,35.2,0.32,0.53,15,3
캠핑장갑,950.0,4110.0,4.7,44.0,0.52,1.14,15,3
방한장갑,6320.0,24200.0,18.7,72.7,0.31,0.31,15,3
캠프캡,870.0,5180.0,1.3,16.0,0.16,0.34,15,3
캡모자,3550.0,31500.0,14.2,317.3,0.42,1.1,15,3
오토바이토시,1960.0,11400.0,13.1,206.8,0.71,1.89,15,3
모자브랜드,950.0,5810.0,8.4,93.6,0.93,1.75,15,3
남자모자,1640.0,10700.0,13.9,119.8,0.9,1.2,15,3
오토바이방한토시,1350.0,7750.0,4.9,46.9,0.38,0.64,15,3
헬스장갑,4290.0,20000.0,17.2,318.8,0.42,1.7,15,3
목폴라,5330.0,39600.0,14.7,163.0,0.29,0.44,15,3
골프넥워머,1180.0,9280.0,1.9,75.2,0.17,0.86,15,3
액세서리,3060.0,4060.0,2.4,6.1,0.09,0.16,15,3
여자벨트,1130.0,11400.0,7.7,125.0,0.71,1.2,15,3
니트후드,840.0,6900.0,1.3,13.7,0.17,0.22,15,3
바라클라바,19300.0,119800.0,13.4,425.3,0.08,0.38,15,3
샴푸,14100.0,109600.0,42.6,521.4,0.32,0.51,15,3
탈모샴푸,10700.0,74000.0,35.5,531.5,0.35,0.77,15,3
약산성샴푸,1800.0,33400.0,5.2,118.3,0.31,0.39,15,3
천연샴푸,890.0,8200.0,3.1,64.8,0.37,0.84,15,3
아기로션,1890.0,11600.0,2.7,27.6,0.15,0.25,15,3
두피샴푸,1180.0,10700.0,3.2,41.0,0.28,0.41,15,3
샴푸추천,3870.0,32600.0,9.9,280.3,0.27,0.93,15,3
지루성두피염샴푸,2200.0,14500.0,12.2,314.0,0.58,2.34,15,3
단백질샴푸,850.0,7240.0,5.0,124.3,0.6,1.85,15,3
임산부샴푸,960.0,7450.0,2.5,128.0,0.27,1.84,15,3
미용실샴푸,1760.0,16000.0,5.0,205.5,0.3,1.39,15,3
바디워시,8830.0,79200.0,15.9,297.0,0.19,0.4,15,3
지성샴푸,1550.0,10200.0,3.4,86.8,0.23,0.91,15,3
아기크림,830.0,8190.0,0.9,1.9,0.12,0.03,15,3
헤어트리트먼트,2390.0,19300.0,9.9,102.3,0.43,0.57,15,3
피부,2270.0,7340.0,1.8,3.5,0.09,0.06,15,3
린스,1720.0,11500.0,1.4,45.8,0.09,0.43,15,3
헤어트리트먼트추천,830.0,8460.0,1.7,52.3,0.22,0.66,15,3
탈모샴푸1위,1380.0,12700.0,6.1,296.2,0.45,2.49,15,3
지성두피샴푸,940.0,6410.0,2.2,29.5,0.24,0.5,15,3
두피스케일링,2230.0,17900.0,6.6,162.8,0.31,0.98,15,3
디퓨저,13800.0,42700.0,29.9,391.0,0.23,0.99,15,3
M자탈모,1090.0,9440.0,1.5,29.5,0.14,0.34,15,3
정수리탈모,1800.0,18000.0,2.3,63.8,0.14,0.38,15,3
신생아용품,920.0,4820.0,5.1,57.3,0.58,1.27,15,3
대용량샴푸,1230.0,5610.0,2.8,38.8,0.24,0.75,15,3
더바디샵진저샴푸,910.0,9110.0,4.8,135.9,0.54,1.59,15,3
탈모샴푸추천,1200.0,15500.0,3.5,82.0,0.3,0.57,15,3
디퓨저추천,1320.0,7080.0,3.4,62.5,0.27,0.96,15,3
올리브영샴푸,1070.0,6820.0,1.1,46.3,0.11,0.74,11,2
탈모예방,1510.0,13800.0,3.5,116.3,0.24,0.9,15,3
지루성두피염,3730.0,29000.0,4.6,101.0,0.13,0.38,15,3
TS샴푸,7050.0,50300.0,24.4,909.0,0.37,1.95,15,3
샴푸바,3920.0,15600.0,21.3,134.5,0.56,0.92,15,3
손세정제,3880.0,13900.0,5.2,51.8,0.14,0.41,15,3
등드름바디워시,1470.0,10300.0,4.1,134.7,0.29,1.41,15,3
바디워시추천,1850.0,17400.0,1.5,76.6,0.09,0.47,15,3
손소독제,4960.0,11300.0,11.1,52.2,0.23,0.49,15,3
남성화장품,2440.0,10600.0,19.5,144.6,0.83,1.45,15,3
남자화장품,2620.0,12300.0,14.5,126.3,0.58,1.1,15,3
시카케어,2250.0,14500.0,1.7,65.3,0.08,0.48,15,3
세수비누,1140.0,6300.0,5.0,82.9,0.46,1.42,15,3
핸드크림,22300.0,103600.0,45.7,450.0,0.21,0.46,15,3
도루코면도기,2230.0,12800.0,5.0,130.5,0.24,1.1,15,3
면봉,2190.0,8070.0,2.3,43.2,0.11,0.58,15,3
소독티슈,1340.0,5230.0,2.6,24.1,0.2,0.5,15,3
요석제거제,2180.0,6200.0,6.7,85.8,0.32,1.49,15,3
