,연관키워드,type,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도,입찰가_m1,입찰가_m2,입찰가_p1,입찰가_p2
16,내의,패션의류,1170.0,5200.0,6.5,74.9,0.58,1.53,15,3,1790.0,1580.0,2890.0,2080.0
17,기모잠옷,패션의류,990.0,7660.0,10.1,108.5,1.05,1.51,15,3,1770.0,750.0,990.0,680.0
18,조스라운지,패션의류,1430.0,7300.0,22.8,278.0,1.65,4.06,15,3,1350.0,880.0,1540.0,520.0
19,파자마파티,패션의류,1310.0,8970.0,4.7,59.3,0.38,0.71,15,3,1590.0,1360.0,1290.0,1150.0
20,뷔스티에,패션의류,1330.0,7910.0,0.9,0.7,0.08,0.01,15,3,1020.0,480.0,440.0,370.0
21,수면잠옷세트,패션의류,1040.0,9910.0,7.1,125.6,0.71,1.35,15,3,1920.0,660.0,910.0,690.0
22,극세사잠옷,패션의류,3200.0,30100.0,24.9,570.1,0.81,2.02,15,3,1610.0,900.0,810.0,660.0
23,남성잠옷,패션의류,1760.0,12300.0,23.1,259.6,1.36,2.26,15,3,2160.0,1560.0,1550.0,1350.0
24,극세사수면잠옷,패션의류,970.0,7630.0,7.2,144.2,0.77,2.03,15,3,1950.0,860.0,1280.0,810.0
25,남자수면잠옷,패션의류,840.0,6350.0,6.9,68.2,0.87,1.15,15,3,1460.0,620.0,850.0,650.0
26,겨울잠옷,패션의류,4550.0,31300.0,44.5,588.7,1.01,2.01,15,3,1540.0,970.0,1270.0,940.0
27,수면바지,패션의류,5110.0,34200.0,14.3,247.9,0.3,0.78,15,3,2210.0,540.0,1020.0,700.0
28,빅사이즈잠옷,패션의류,900.0,8310.0,29.7,542.5,3.4,7.01,15,3,2000.0,750.0,760.0,680.0
29,여성티셔츠,패션의류,1910.0,25100.0,22.2,167.6,1.23,0.73,15,3,2030.0,1260.0,1520.0,1330.0
30,원피스,패션의류,33700.0,221500.0,111.7,1009.8,0.36,0.5,15,3,1260.0,1020.0,1320.0,930.0
31,여성원피스,패션의류,1610.0,22000.0,20.9,219.8,1.38,1.1,15,3,7950.0,1180.0,11300.0,930.0
32,롱원피스,패션의류,2630.0,41400.0,16.1,148.8,0.65,0.4,15,3,8920.0,1270.0,10590.0,890.0
