,연관키워드,type,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도,입찰가_m1,입찰가_m2,입찰가_p1,입찰가_p2
849,해피데이핫팩,스포츠/레저,1260.0,4220.0,2.9,32.0,0.24,0.8,15,3,1750.0,680.0,1340.0,1080.0
850,여성장갑,스포츠/레저,1170.0,7500.0,6.8,39.2,0.6,0.55,15,3,1320.0,930.0,970.0,700.0
851,어그슬리퍼,패션잡화,31300.0,415900.0,192.3,5876.8,0.64,1.52,15,3,2400.0,1040.0,2430.0,1760.0
852,어그,패션잡화,29100.0,292400.0,327.0,5461.6,1.16,2.02,15,3,1910.0,1710.0,1770.0,1570.0
853,UGG슬리퍼,패션잡화,4020.0,60700.0,46.3,1581.0,1.19,2.79,15,3,2370.0,670.0,2010.0,1370.0
854,UGG,패션잡화,10700.0,106000.0,137.7,2247.5,1.33,2.29,15,3,1530.0,1360.0,1480.0,1350.0
855,어그부츠,패션잡화,15500.0,173100.0,113.5,2359.8,0.76,1.49,15,3,1630.0,1460.0,1640.0,1390.0
856,털신발,패션잡화,3350.0,27800.0,11.5,71.1,0.36,0.28,15,3,950.0,540.0,820.0,650.0
857,퍼슬리퍼,패션잡화,2190.0,18400.0,7.8,45.2,0.37,0.27,15,3,1010.0,590.0,680.0,590.0
858,어그코케트,패션잡화,4580.0,63800.0,48.1,1030.0,1.08,1.72,15,3,1680.0,1510.0,1450.0,980.0
859,통굽슬리퍼,패션잡화,1050.0,9160.0,8.5,73.3,0.84,0.86,15,3,2630.0,1880.0,2180.0,1700.0
860,어그타스만,패션잡화,2340.0,23700.0,21.5,323.4,0.94,1.47,15,3,2610.0,800.0,1320.0,890.0
861,UGG어그,패션잡화,1590.0,23500.0,18.5,526.8,1.2,2.42,15,3,1790.0,590.0,1280.0,870.0
862,UGG부츠,패션잡화,1090.0,15400.0,10.2,327.2,0.97,2.33,15,3,1320.0,580.0,900.0,680.0
863,겨울신발,패션잡화,3130.0,20800.0,14.5,88.5,0.49,0.46,15,3,1280.0,870.0,1070.0,980.0
864,여성신발,패션잡화,2060.0,13600.0,50.3,262.3,2.56,2.09,15,3,7490.0,2420.0,9090.0,2980.0
865,어그모카신,패션잡화,1890.0,30900.0,13.9,391.7,0.76,1.36,15,3,1360.0,750.0,1100.0,790.0
866,어그클래식미니,패션잡화,1090.0,12900.0,9.5,135.2,0.9,1.13,15,3,1560.0,770.0,1030.0,780.0
867,어그부츠숏,패션잡화,840.0,8220.0,4.4,64.7,0.54,0.87,11,2,1260.0,340.0,560.0,440.0
868,남자어그슬리퍼,패션잡화,900.0,8450.0,5.0,121.7,0.58,1.56,15,3,1520.0,400.0,920.0,670.0
869,어그털슬리퍼,패션잡화,1030.0,10200.0,5.5,97.3,0.55,1.02,15,3,1130.0,710.0,830.0,570.0
870,어그플랫폼,패션잡화,1660.0,23800.0,17.5,217.8,1.07,0.98,10,2,1280.0,500.0,800.0,560.0
871,오즈웨어어그,패션잡화,2000.0,28500.0,6.7,217.3,0.34,0.82,15,3,1220.0,880.0,740.0,620.0
872,어그사이즈,패션잡화,980.0,8060.0,2.0,27.0,0.21,0.36,15,3,1170.0,500.0,710.0,500.0
873,어그샌들,패션잡화,1120.0,14800.0,3.3,89.9,0.31,0.66,15,3,1990.0,1040.0,1000.0,680.0
874,어그미니,패션잡화,1000.0,9590.0,6.4,4.3,0.67,0.05,15,3,1130.0,500.0,850.0,610.0
875,남자어그,패션잡화,1120.0,7820.0,6.2,81.3,0.58,1.13,15,3,1330.0,450.0,800.0,570.0
876,어그매장,패션잡화,1460.0,20200.0,4.8,145.4,0.34,0.78,15,3,1530.0,400.0,890.0,580.0
877,어그귀마개,디지털/가전,1020.0,11800.0,5.3,173.0,0.54,1.55,15,3,1260.0,620.0,830.0,590.0
878,호주어그,패션잡화,2660.0,23800.0,28.8,429.1,1.11,1.93,15,3,1110.0,510.0,590.0,470.0
879,어그키즈,패션잡화,1470.0,27300.0,21.3,558.6,1.47,2.18,15,3,2370.0,940.0,1360.0,910.0
880,오즈웨어,패션잡화,1770.0,13500.0,5.4,32.8,0.32,0.26,12,2,1310.0,630.0,550.0,470.0
881,남자방한화,스포츠/레저,880.0,4340.0,9.1,47.0,1.08,1.18,15,3,1230.0,960.0,1490.0,1240.0
882,방한부츠,패션잡화,2210.0,13500.0,7.2,64.8,0.34,0.52,15,3,890.0,720.0,1050.0,880.0
883,방한신발,패션잡화,970.0,5230.0,3.4,21.0,0.37,0.43,15,3,1210.0,690.0,950.0,820.0
884,털부츠,패션잡화,1530.0,12600.0,5.7,17.8,0.38,0.16,15,3,1040.0,700.0,690.0,600.0
885,패딩부츠,패션잡화,1920.0,16600.0,3.4,16.9,0.19,0.12,15,3,1190.0,640.0,740.0,590.0
886,겨울부츠,패션잡화,1470.0,11300.0,6.0,87.6,0.43,0.84,15,3,990.0,580.0,810.0,710.0
887,털크록스,패션잡화,14000.0,180500.0,68.5,2557.4,0.5,1.52,15,3,2890.0,1070.0,3110.0,1740.0
888,겨울사무실슬리퍼,패션잡화,1200.0,2310.0,6.9,22.3,0.59,1.03,15,3,1300.0,480.0,850.0,620.0
889,사무실겨울슬리퍼,패션잡화,1440.0,2280.0,6.3,13.6,0.44,0.63,15,3,1460.0,1280.0,1500.0,1020.0
890,사무실털슬리퍼,패션잡화,1990.0,3960.0,8.9,39.2,0.45,1.05,15,3,1820.0,550.0,870.0,600.0
891,패딩슬리퍼,패션잡화,5100.0,40800.0,15.6,149.0,0.32,0.4,15,3,1550.0,810.0,900.0,700.0
892,부츠,패션잡화,7780.0,88000.0,66.6,899.9,0.89,1.11,15,3,7540.0,1310.0,10750.0,870.0
893,남성스니커즈,패션잡화,3820.0,22800.0,26.8,191.5,0.74,0.92,15,3,2640.0,1920.0,4430.0,2250.0
894,베어파우부츠,패션잡화,940.0,21100.0,5.7,203.5,0.63,1.05,15,3,1720.0,980.0,780.0,670.0
895,베어파우,패션잡화,6950.0,73400.0,29.9,896.0,0.45,1.32,15,3,2650.0,1270.0,1250.0,950.0
896,베어파우모카신,패션잡화,1170.0,20300.0,4.3,109.2,0.38,0.58,15,3,1370.0,920.0,640.0,510.0
897,베어파우슬리퍼,패션잡화,3410.0,58800.0,9.5,346.5,0.29,0.63,15,3,2090.0,1270.0,2110.0,840.0
898,스투시비니,패션잡화,1710.0,18700.0,4.7,104.6,0.29,0.61,15,3,1170.0,450.0,1030.0,830.0
899,테니스,패션잡화,9640.0,56700.0,15.8,233.5,0.17,0.45,15,3,3930.0,1210.0,6410.0,1040.0
900,겨울운동화,패션잡화,2860.0,18300.0,12.5,92.3,0.46,0.55,15,3,1630.0,1180.0,950.0,810.0
901,군화,패션잡화,1280.0,6570.0,14.3,158.3,1.19,2.6,15,3,1030.0,420.0,440.0,370.0
902,서류가방,패션잡화,4220.0,15800.0,22.3,121.3,0.55,0.83,15,3,2350.0,1470.0,2340.0,2020.0
903,여성스니커즈,패션잡화,2570.0,27000.0,24.5,203.5,0.99,0.82,15,3,1930.0,1670.0,3480.0,1460.0
904,여자운동화,패션잡화,2200.0,18800.0,10.0,148.8,0.48,0.86,15,3,8210.0,4210.0,9840.0,4660.0
905,커플운동화,패션잡화,1520.0,9900.0,4.4,71.6,0.31,0.78,15,3,1440.0,1020.0,1250.0,980.0
906,방한화,스포츠/레저,9040.0,47500.0,53.7,924.3,0.62,2.08,15,3,2020.0,1350.0,2310.0,1970.0
907,남자스니커즈,패션잡화,4190.0,23500.0,24.5,169.8,0.62,0.79,15,3,2570.0,2010.0,5010.0,2500.0
908,슬립온,패션잡화,5050.0,42100.0,28.4,264.7,0.59,0.69,15,3,2180.0,1320.0,4390.0,1160.0
909,여성등산복,패션잡화,850.0,6170.0,12.3,132.8,1.5,2.32,15,3,1220.0,880.0,1060.0,940.0
910,스니커즈,패션잡화,13300.0,103100.0,49.4,553.8,0.39,0.59,15,3,7970.0,5260.0,11230.0,6220.0
911,여성겨울신발,패션잡화,900.0,9530.0,12.1,175.6,1.38,1.99,15,3,1090.0,630.0,920.0,760.0
912,크록스털,패션잡화,10900.0,142300.0,53.3,1010.9,0.5,0.76,15,3,1600.0,980.0,1320.0,1050.0
913,패딩슈즈,패션잡화,2080.0,19500.0,7.1,97.1,0.36,0.55,15,3,1040.0,780.0,950.0,750.0
914,여자스니커즈,패션잡화,1960.0,24700.0,16.4,185.0,0.87,0.82,15,3,2070.0,1590.0,3630.0,1990.0
915,미소페로퍼,패션잡화,910.0,9900.0,5.4,66.3,0.62,0.74,15,3,980.0,450.0,760.0,490.0
916,폴로목도리,패션잡화,5810.0,59900.0,29.7,446.4,0.53,0.8,15,3,710.0,490.0,690.0,550.0
917,나이키운동화,패션잡화,33200.0,382900.0,234.4,4568.4,0.74,1.31,15,3,4960.0,1450.0,6970.0,1470.0
918,나이키런닝화,패션잡화,5830.0,53000.0,18.7,296.0,0.34,0.61,15,3,1970.0,1420.0,1760.0,1260.0
919,나이키러닝화,패션잡화,2620.0,17600.0,17.2,102.8,0.69,0.64,15,3,2240.0,1280.0,1370.0,1040.0
920,나이키아울렛,패션잡화,2270.0,16600.0,27.3,416.4,1.27,2.74,15,3,5360.0,920.0,7610.0,930.0
921,나이키골프화,패션잡화,6890.0,61800.0,41.5,704.7,0.63,1.24,15,3,2320.0,710.0,6830.0,1850.0
922,나이키신발,패션잡화,8830.0,89600.0,59.1,855.5,0.71,1.05,15,3,2200.0,1120.0,7100.0,930.0
923,나이키사카이,패션잡화,3840.0,34400.0,24.7,407.7,0.68,1.29,15,3,1510.0,880.0,2630.0,1300.0
924,나이키골프,패션잡화,7680.0,54400.0,27.5,312.2,0.38,0.63,15,3,2220.0,920.0,1280.0,920.0
925,나이키조던,패션잡화,5160.0,63600.0,26.7,837.6,0.55,1.45,15,3,1160.0,760.0,7610.0,1040.0
926,나이키킬샷2,패션잡화,1610.0,16200.0,16.9,339.6,1.12,2.31,15,3,1140.0,910.0,6920.0,1190.0
927,나이키덩크,패션잡화,3480.0,25200.0,40.5,369.9,1.22,1.63,15,3,1320.0,830.0,6990.0,1390.0
928,남성나이키운동화,패션잡화,940.0,10400.0,16.5,185.4,1.83,1.93,15,3,1660.0,1000.0,6570.0,1450.0
929,나이키에어맥스,패션잡화,8730.0,103900.0,32.6,713.5,0.4,0.75,15,3,5670.0,1960.0,6650.0,2600.0
930,나이키킬샷,패션잡화,3050.0,22900.0,24.2,402.6,0.83,1.92,15,3,1210.0,930.0,7190.0,1010.0
931,피스마이너스원,패션잡화,3070.0,18000.0,5.4,79.5,0.19,0.48,15,3,1190.0,470.0,530.0,480.0
932,나이키에어맥스95,패션잡화,1440.0,10500.0,8.7,116.0,0.64,1.2,15,3,5290.0,1150.0,6590.0,1150.0
933,나이키농구화,패션잡화,2030.0,15500.0,28.9,294.6,1.49,2.07,15,3,1560.0,1020.0,2610.0,890.0
934,나이키온라인스토어,패션잡화,116900.0,1112500.0,1717.0,16748.0,1.55,1.64,1,1,4450.0,4450.0,4970.0,70.0
935,운동화쇼핑몰,패션잡화,810.0,5140.0,33.1,316.2,4.32,6.73,15,3,1390.0,1070.0,4810.0,1500.0
936,나이키양말,패션잡화,6790.0,58600.0,32.3,1105.1,0.5,2.02,15,3,3520.0,2180.0,6130.0,1500.0
937,나이키스투시,패션잡화,1200.0,9840.0,2.9,129.9,0.25,1.44,15,3,1170.0,920.0,2020.0,900.0
938,여자나이키운동화,패션잡화,930.0,17700.0,12.7,320.8,1.41,1.98,15,3,1680.0,1170.0,3290.0,790.0
939,조던로우,패션잡화,940.0,7390.0,4.5,101.3,0.5,1.49,15,3,1560.0,1020.0,5460.0,510.0
940,나이키트레이닝복,패션잡화,1880.0,10900.0,12.1,125.5,0.68,1.26,15,3,1350.0,1010.0,1450.0,1060.0
941,남성운동화,패션잡화,3420.0,19700.0,20.8,188.3,0.64,1.04,15,3,2120.0,1920.0,5120.0,1930.0
942,나이키트레이닝복세트,패션잡화,4210.0,39100.0,35.2,270.3,0.88,0.76,15,3,1390.0,1110.0,1300.0,880.0
943,우븐,패션잡화,1310.0,3280.0,0.0,0.0,0.0,0.0,3,3,1190.0,740.0,3040.0,610.0
944,운동화끈,패션잡화,1630.0,11000.0,13.4,139.8,0.86,1.39,15,3,1490.0,1200.0,4140.0,1050.0
945,나이키등산화,패션잡화,1400.0,11600.0,8.1,127.3,0.6,1.19,15,3,870.0,560.0,840.0,390.0
946,나이키와플,패션잡화,1890.0,15100.0,7.3,149.6,0.41,1.08,15,3,1200.0,880.0,5760.0,1210.0
947,나이키운동화추천,패션잡화,860.0,4780.0,5.5,67.9,0.67,1.56,15,3,1060.0,790.0,5180.0,1100.0
948,남자운동화추천,패션잡화,900.0,4210.0,9.1,45.2,1.06,1.17,15,3,1730.0,1540.0,4630.0,1830.0
949,신발브랜드,패션잡화,1570.0,8840.0,10.1,82.3,0.67,1.02,15,3,1930.0,1380.0,3860.0,1160.0
950,남자단화,패션잡화,1740.0,10000.0,7.2,71.5,0.44,0.79,15,3,1560.0,1180.0,1000.0,920.0
951,아키클래식운동화,패션잡화,1530.0,17900.0,10.0,519.9,0.68,3.13,15,3,1930.0,1790.0,2060.0,1460.0
952,발편한운동화,패션잡화,2650.0,23600.0,22.1,512.9,0.86,2.35,15,3,2440.0,2300.0,2940.0,2770.0
953,나이키여성운동화,패션잡화,2400.0,28000.0,23.5,390.9,1.03,1.53,15,3,2010.0,1280.0,5780.0,1440.0
954,나이키바지,패션잡화,3090.0,34700.0,17.5,305.3,0.6,0.96,15,3,1910.0,1330.0,4040.0,960.0
955,나이키베이퍼맥스,패션잡화,1670.0,15800.0,12.3,254.5,0.79,1.75,15,3,7000.0,1020.0,7630.0,1020.0
956,나이키비니,패션잡화,960.0,9600.0,2.5,81.4,0.27,0.92,15,3,1370.0,1020.0,1290.0,900.0
957,나이키코르테즈,패션잡화,4910.0,50500.0,60.5,1177.5,1.29,2.55,15,3,2930.0,1500.0,7010.0,1370.0
958,나이키테크팩,패션잡화,1910.0,22000.0,9.8,109.7,0.55,0.55,15,3,1200.0,690.0,6210.0,750.0
959,나이키트레이닝바지,패션잡화,1880.0,17600.0,9.9,99.2,0.56,0.61,15,3,1520.0,1030.0,1020.0,840.0
960,나이키운동복,패션잡화,1200.0,8320.0,9.3,91.0,0.8,1.18,15,3,2030.0,1080.0,1350.0,860.0
961,나이키백팩,패션잡화,2580.0,27600.0,13.9,171.0,0.57,0.68,15,3,1400.0,1010.0,2400.0,950.0
962,나이키에어맥스90,패션잡화,1560.0,13100.0,9.1,118.5,0.62,0.99,15,3,2240.0,1500.0,5030.0,990.0
963,나이키레깅스,패션잡화,1170.0,11200.0,7.4,105.5,0.67,1.01,15,3,3570.0,880.0,2890.0,1640.0
964,나이키트레이닝세트,패션잡화,920.0,13000.0,6.5,166.1,0.73,1.39,15,3,1780.0,1090.0,970.0,560.0
965,나이키덩크로우,패션잡화,6300.0,86700.0,56.3,1318.4,0.94,1.66,15,3,2440.0,1300.0,6770.0,1850.0
966,나이키스포츠브라,패션잡화,810.0,8270.0,3.2,64.7,0.42,0.85,15,3,1720.0,1010.0,860.0,530.0
967,나이키에어포스107,패션잡화,2490.0,23200.0,23.3,354.1,0.99,1.67,15,3,1810.0,1300.0,6900.0,1110.0
968,나이키에어맥스97,패션잡화,5240.0,55600.0,44.3,599.0,0.89,1.18,15,3,6040.0,1440.0,7320.0,1340.0
969,나이키조거팬츠,패션잡화,4200.0,42600.0,25.8,313.3,0.64,0.8,15,3,1620.0,1180.0,3090.0,1350.0
970,조던1시카고,패션잡화,970.0,4500.0,2.2,10.2,0.26,0.26,9,2,1550.0,900.0,3810.0,340.0
971,나이키뽀글이,패션잡화,1520.0,21400.0,9.9,125.2,0.67,0.63,13,2,1110.0,750.0,1070.0,670.0
972,나이키드라이핏,패션잡화,1020.0,5490.0,4.9,66.6,0.52,1.31,15,3,1710.0,1080.0,6090.0,1100.0
973,나이키윈드러너,패션잡화,1050.0,8330.0,3.3,42.1,0.33,0.56,15,3,1530.0,880.0,4210.0,1330.0
974,조던신발,패션잡화,1190.0,16000.0,9.6,345.6,0.85,2.34,15,3,1560.0,860.0,6130.0,490.0
975,나이키줌보메로5,패션잡화,1180.0,8180.0,15.6,317.0,1.35,4.09,13,2,1500.0,1020.0,1390.0,830.0
976,덩크,패션잡화,1000.0,6090.0,6.6,55.5,0.69,0.99,15,3,2000.0,740.0,3670.0,650.0
977,맥스97,패션잡화,1240.0,9180.0,11.4,105.5,0.96,1.26,15,3,5720.0,1360.0,6460.0,1160.0
978,나이키리액트,패션잡화,1360.0,12200.0,3.7,48.7,0.29,0.44,15,3,1710.0,1180.0,2040.0,990.0
979,나이키에어,패션잡화,2400.0,23000.0,9.7,154.4,0.43,0.74,15,3,3950.0,1380.0,6450.0,1150.0
980,나이키에어포스올백,패션잡화,940.0,7670.0,12.9,146.0,1.45,2.08,15,3,3270.0,1400.0,7060.0,1120.0
981,나이키우븐팬츠,패션잡화,1010.0,7140.0,3.8,14.1,0.4,0.22,15,3,1330.0,940.0,2270.0,930.0
982,바이셀도쿄,패션잡화,810.0,2940.0,0.0,1.0,0.0,0.04,3,3,100.0,100.0,110.0,70.0
983,나이키후리스,패션잡화,6010.0,78800.0,16.7,540.7,0.29,0.73,15,3,930.0,680.0,1550.0,860.0
984,피마원,패션잡화,870.0,4600.0,1.0,0.3,0.12,0.01,9,2,1290.0,450.0,440.0,310.0
985,폴로셔츠,패션잡화,5200.0,41200.0,38.3,472.3,0.77,1.27,15,3,1010.0,870.0,2190.0,960.0
986,코르테즈,패션잡화,1830.0,16200.0,17.7,440.8,1.01,2.96,15,3,2010.0,1270.0,6600.0,510.0
987,나이키모자,패션잡화,5330.0,66800.0,26.4,694.5,0.53,1.12,15,3,1330.0,1040.0,2290.0,920.0
988,나이키스우시,패션잡화,1480.0,11900.0,3.9,48.7,0.28,0.45,15,3,5270.0,1070.0,5910.0,950.0
989,덩크로우,패션잡화,3100.0,28000.0,36.8,774.0,1.25,3.04,15,3,1950.0,1110.0,5940.0,1170.0
990,나이키테일윈드,패션잡화,1540.0,8640.0,8.8,143.4,0.61,1.81,15,3,6790.0,1280.0,7380.0,950.0
991,나이키팬츠,패션잡화,900.0,7360.0,4.5,69.0,0.52,1.03,15,3,1520.0,1070.0,2170.0,1010.0
992,에어팟3,패션잡화,5790.0,25200.0,25.3,304.0,0.46,1.29,15,3,3080.0,650.0,1100.0,840.0
993,나이키NRG,패션잡화,1240.0,5590.0,9.5,4.0,0.81,0.08,12,2,1220.0,460.0,4340.0,360.0
994,나이키힙색,패션잡화,1970.0,21400.0,6.9,63.7,0.36,0.33,15,3,1510.0,950.0,2570.0,850.0
995,에어팟,디지털/가전,40300.0,223900.0,87.5,2119.8,0.23,1.02,15,3,4180.0,490.0,1630.0,810.0
996,나이키반바지,패션잡화,1290.0,9450.0,6.1,142.6,0.5,1.66,15,3,2550.0,1090.0,7880.0,1340.0
997,조던,패션잡화,5140.0,47300.0,15.7,530.8,0.33,1.23,15,3,1540.0,910.0,6990.0,750.0
998,베이퍼맥스,패션잡화,1460.0,11600.0,9.2,206.3,0.66,1.93,15,3,6380.0,1180.0,6790.0,1100.0
999,크록스,패션잡화,81400.0,697800.0,220.2,3707.4,0.29,0.58,15,3,2260.0,1400.0,2300.0,1830.0
1000,크록스바야밴드,패션잡화,1940.0,28300.0,8.6,180.5,0.47,0.69,15,3,2070.0,950.0,1270.0,1020.0
1001,지센,패션잡화,5340.0,33600.0,33.5,332.5,0.66,1.07,15,3,1260.0,470.0,660.0,470.0
1002,크록스슬리퍼,패션잡화,5970.0,67300.0,39.3,1172.8,0.69,1.91,15,3,2230.0,900.0,2050.0,1370.0
1003,금강제화,여가/생활편의,15000.0,71900.0,87.0,757.8,0.61,1.16,15,3,990.0,650.0,1060.0,780.0
1004,크록스지비츠,패션잡화,5730.0,56500.0,23.7,704.5,0.43,1.37,15,3,1640.0,960.0,1230.0,1050.0
1005,닥스,패션잡화,16900.0,92600.0,88.6,1181.3,0.56,1.39,15,3,1990.0,1460.0,2310.0,2140.0
1006,크록스클래식라인드클로그,패션잡화,1210.0,8330.0,10.1,29.4,0.86,0.38,15,3,1120.0,460.0,730.0,640.0
1007,커터앤벅,패션잡화,1200.0,13800.0,11.1,203.5,0.95,1.62,15,3,1800.0,490.0,620.0,490.0
1008,모조에스핀,패션잡화,5680.0,58100.0,10.1,82.3,0.19,0.16,15,3,1390.0,580.0,770.0,490.0
1009,JDX,패션잡화,4820.0,19600.0,9.0,79.1,0.2,0.44,15,3,1470.0,540.0,690.0,530.0
1010,크록스클로그,패션잡화,1170.0,11900.0,5.7,52.0,0.52,0.48,15,3,1750.0,780.0,1190.0,880.0
1011,그녀희제,패션잡화,4060.0,14600.0,50.7,213.6,1.3,1.58,15,3,1390.0,930.0,1320.0,750.0
1012,헤지스,패션잡화,22200.0,113800.0,113.6,1158.7,0.54,1.12,15,3,1630.0,710.0,1710.0,1580.0
1013,크록스겨울,패션잡화,1210.0,7620.0,11.0,121.5,0.94,1.73,15,3,1240.0,710.0,1160.0,680.0
1014,CROCS,패션잡화,900.0,6910.0,3.7,101.5,0.45,1.59,15,3,1370.0,840.0,980.0,810.0
1015,겨울크록스,패션잡화,3580.0,35400.0,13.8,326.0,0.4,0.99,15,3,1910.0,910.0,1250.0,810.0
1016,크록스털신,패션잡화,1600.0,15700.0,9.5,151.2,0.61,1.04,15,3,1450.0,880.0,1360.0,1130.0
1017,크록스라이트라이드,패션잡화,1780.0,15000.0,6.5,208.0,0.39,1.5,15,3,3430.0,860.0,1240.0,1090.0
1018,크록스부츠,패션잡화,1560.0,22600.0,4.7,143.7,0.32,0.68,15,3,1830.0,740.0,680.0,610.0
1019,크록스사이즈,패션잡화,1850.0,11800.0,1.9,41.0,0.11,0.38,15,3,1640.0,1120.0,750.0,650.0
1020,잭오랜턴,패션잡화,4880.0,29100.0,2.3,96.7,0.05,0.35,15,3,1150.0,450.0,510.0,450.0
1021,네파키즈,패션잡화,2290.0,23900.0,31.2,423.7,1.4,1.9,15,3,2350.0,1430.0,2510.0,1810.0
1022,크록스키즈,패션잡화,1370.0,25300.0,9.5,341.3,0.72,1.47,15,3,1960.0,1440.0,1900.0,1300.0
1023,행텐주니어,패션잡화,990.0,11900.0,3.5,71.8,0.36,0.65,15,3,2260.0,370.0,610.0,420.0
1024,엄마옷데드라,패션잡화,1840.0,10500.0,45.9,162.4,2.66,1.68,15,3,690.0,440.0,700.0,420.0
1025,김여사,패션잡화,1900.0,8960.0,98.5,156.0,5.4,1.88,15,3,930.0,700.0,2040.0,1050.0
1026,페이퍼플레인,패션잡화,1690.0,8820.0,5.3,62.1,0.33,0.77,15,3,2280.0,1000.0,1570.0,1200.0
1027,더아이잗,패션잡화,1670.0,14800.0,7.5,136.5,0.48,1.01,15,3,1000.0,720.0,790.0,530.0
1028,아이스비스킷,패션잡화,4130.0,73500.0,19.2,855.5,0.48,1.25,15,3,450.0,360.0,920.0,570.0
1029,락포트,패션잡화,11300.0,60200.0,26.1,188.2,0.25,0.35,15,3,1760.0,770.0,3100.0,1380.0
1030,도이터,패션잡화,2270.0,6680.0,2.3,41.4,0.11,0.68,15,3,750.0,680.0,720.0,620.0
1031,MLB키즈,패션잡화,5150.0,91000.0,16.5,600.3,0.34,0.71,15,3,1820.0,770.0,2030.0,840.0
1032,첨이첨이,패션잡화,1130.0,9870.0,2.9,44.0,0.27,0.48,15,3,2590.0,440.0,740.0,610.0
1033,지프,패션잡화,23000.0,112700.0,15.8,330.8,0.08,0.33,15,3,1290.0,910.0,1160.0,860.0
1034,제이앤제나,패션잡화,1200.0,8840.0,3.3,25.7,0.28,0.32,6,2,1290.0,290.0,530.0,390.0
1035,프레드페리,패션잡화,4270.0,26300.0,7.1,63.5,0.18,0.27,15,3,1320.0,530.0,1350.0,980.0
1036,쥬시쥬디,패션잡화,3840.0,48200.0,36.3,883.0,0.99,2.0,15,3,1280.0,970.0,620.0,540.0
1037,비키,패션잡화,1710.0,14200.0,5.4,58.5,0.34,0.44,15,3,1020.0,410.0,540.0,470.0
1038,앤드지,패션잡화,5820.0,22900.0,10.4,109.7,0.19,0.53,15,3,1200.0,350.0,1500.0,420.0
1039,JDX여성골프웨어,패션잡화,910.0,11700.0,9.9,186.3,1.14,1.73,15,3,2760.0,450.0,960.0,550.0
1040,크록스털슬리퍼,패션잡화,4200.0,33000.0,29.4,466.5,0.72,1.53,15,3,1760.0,730.0,1110.0,710.0
1041,트루젠,패션잡화,1540.0,5370.0,4.4,14.3,0.31,0.3,15,3,1260.0,400.0,530.0,440.0
1042,올젠바지,패션잡화,1020.0,8330.0,4.6,71.8,0.48,0.95,15,3,2120.0,650.0,1480.0,600.0
1043,폴햄,패션잡화,18800.0,110000.0,28.1,374.0,0.16,0.37,15,3,2030.0,920.0,800.0,630.0
1044,머렐,패션잡화,5400.0,27200.0,25.7,214.3,0.51,0.89,15,3,1290.0,700.0,530.0,410.0
1045,SATIN,패션잡화,1100.0,3870.0,1.1,8.9,0.11,0.26,15,3,1520.0,540.0,520.0,430.0
1046,파크랜드,패션잡화,10600.0,40200.0,50.8,484.3,0.51,1.32,15,3,1220.0,590.0,770.0,610.0
1047,금강제화구두,패션잡화,850.0,6160.0,8.6,119.3,1.06,2.1,15,3,1150.0,490.0,1060.0,600.0
1048,금강제화세일,패션잡화,2050.0,10400.0,29.6,259.9,1.51,2.71,15,3,1260.0,580.0,870.0,700.0
1049,시티즌,패션잡화,2660.0,9270.0,3.5,42.0,0.14,0.49,15,3,610.0,550.0,1450.0,710.0
1050,블랙야크트레킹화,패션잡화,1380.0,10500.0,8.1,135.9,0.62,1.41,15,3,4350.0,1060.0,760.0,640.0
1051,올리비아로렌,패션잡화,6850.0,68000.0,80.5,1197.7,1.23,1.91,15,3,1240.0,900.0,1180.0,440.0
1052,블랙야크바람막이,패션잡화,1210.0,9000.0,9.9,71.3,0.86,0.87,15,3,1440.0,500.0,1050.0,550.0
1053,ANDZ,패션잡화,1970.0,10400.0,4.4,66.8,0.24,0.72,15,3,1670.0,340.0,1240.0,550.0
1054,MINIMUM,패션잡화,1190.0,2760.0,0.9,17.6,0.08,0.69,12,2,1110.0,290.0,400.0,320.0
1055,탑텐,패션잡화,170300.0,997600.0,73.7,32.7,0.05,0.01,15,3,1640.0,660.0,1570.0,910.0
1056,JDX남성골프웨어,패션잡화,2270.0,12000.0,16.7,171.3,0.77,1.56,15,3,1630.0,420.0,700.0,510.0
1057,지오지아,패션잡화,16600.0,68700.0,8.4,6.7,0.06,0.02,15,3,1180.0,470.0,700.0,570.0
1058,머렐경량패딩,패션잡화,950.0,11900.0,4.4,65.5,0.49,0.6,15,3,1050.0,620.0,570.0,450.0
1059,남자발목양말,패션잡화,1920.0,12300.0,11.2,197.3,0.61,1.72,15,3,2700.0,1440.0,2560.0,1970.0
1060,요술버선,패션잡화,1060.0,5530.0,4.7,83.6,0.46,1.6,15,3,890.0,750.0,1660.0,960.0
1061,버선,패션잡화,1050.0,4360.0,1.4,31.0,0.14,0.76,15,3,1040.0,800.0,890.0,620.0
1062,로퍼,패션잡화,8250.0,70400.0,27.1,531.8,0.35,0.82,15,3,9160.0,2000.0,12730.0,2070.0
1063,여성운동화,패션잡화,4980.0,53400.0,49.5,607.6,1.04,1.24,15,3,7250.0,4380.0,9240.0,5390.0
1064,런닝화,패션잡화,7940.0,55500.0,50.3,567.0,0.66,1.11,15,3,3140.0,2020.0,6190.0,2830.0
1065,여성키높이운동화,패션잡화,930.0,9830.0,16.1,126.0,1.78,1.39,15,3,1510.0,1350.0,3260.0,1610.0
