,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도,키워드,입찰가_모바일_1위
127,양말,28100.0,186400.0,260.7,2444.2,0.96,1.41,15,3,양말,2090.0
128,반지,7420.0,76100.0,69.8,611.0,0.99,0.88,15,3,반지,8920.0
129,남자티셔츠,2190.0,15000.0,15.5,75.5,0.76,0.55,15,3,남자티셔츠,2360.0
130,숏패딩,30200.0,258100.0,134.4,1537.7,0.46,0.64,15,3,숏패딩,1140.0
131,기모후드,1310.0,7460.0,3.9,39.9,0.32,0.57,15,3,기모후드,1740.0
132,남자옷쇼핑몰,3490.0,16600.0,166.2,1509.6,5.03,9.81,15,3,남자옷쇼핑몰,1510.0
133,크롭맨투맨,2240.0,28400.0,4.2,40.3,0.2,0.16,15,3,크롭맨투맨,1370.0
134,가죽자켓,6930.0,76100.0,80.1,673.3,1.22,0.97,15,3,가죽자켓,8640.0
135,니트원피스,8890.0,117100.0,51.0,507.1,0.6,0.47,15,3,니트원피스,1500.0
136,등산가방,7400.0,59500.0,24.1,686.4,0.34,1.25,15,3,등산가방,1180.0
137,하프집업,2260.0,12500.0,4.6,8.4,0.22,0.08,15,3,하프집업,1290.0
138,침낭,11700.0,83500.0,59.7,1048.8,0.53,1.33,15,3,침낭,1910.0
139,면티,1490.0,9310.0,5.3,52.8,0.38,0.63,15,3,면티,7730.0
140,가디건,13200.0,118700.0,34.1,353.5,0.27,0.33,15,3,가디건,10570.0
141,반집업맨투맨,1900.0,20200.0,5.0,107.5,0.28,0.58,15,3,반집업맨투맨,1390.0
142,반바지,1960.0,12500.0,2.1,15.7,0.12,0.14,15,3,반바지,1500.0
143,정장,6790.0,35300.0,21.3,186.2,0.33,0.58,15,3,정장,8870.0
144,긴팔티셔츠,2330.0,17800.0,7.4,44.3,0.34,0.27,15,3,긴팔티셔츠,2410.0
145,자켓,6320.0,49700.0,8.3,22.5,0.14,0.05,15,3,자켓,10630.0
146,등산배낭,4090.0,18100.0,24.3,241.7,0.63,1.45,15,3,등산배낭,1100.0
147,패딩조끼,28100.0,250400.0,121.4,1367.5,0.45,0.58,15,3,패딩조끼,1400.0
148,티셔츠주문제작,1140.0,4140.0,33.0,252.2,3.02,6.47,15,3,티셔츠주문제작,5580.0
149,아웃도어브랜드,3910.0,16200.0,46.7,261.8,1.24,1.75,15,3,아웃도어브랜드,2150.0
150,양털후드집업,1590.0,14200.0,8.5,111.7,0.55,0.83,15,3,양털후드집업,1740.0
151,트레이닝셋업,1330.0,9540.0,10.2,131.9,0.8,1.49,15,3,트레이닝셋업,3030.0
152,카라티,1110.0,6060.0,1.1,5.1,0.11,0.1,15,3,카라티,1210.0
153,키큰여자쇼핑몰,1820.0,16400.0,124.5,1838.4,7.1,12.05,15,3,키큰여자쇼핑몰,1670.0
154,남자조거팬츠,3360.0,24700.0,26.1,239.4,0.81,1.04,15,3,남자조거팬츠,8600.0
155,크롭티,2540.0,23800.0,11.1,55.7,0.47,0.26,15,3,크롭티,2600.0
156,긴팔티,1520.0,8620.0,2.1,8.1,0.15,0.11,15,3,긴팔티,8900.0
157,남자와이셔츠,1200.0,6100.0,8.4,49.8,0.74,0.9,15,3,남자와이셔츠,1970.0
158,남자와이드팬츠,2540.0,15800.0,14.9,127.5,0.62,0.88,15,3,남자와이드팬츠,1750.0
159,남자헬스복,1120.0,5200.0,27.3,216.2,2.56,4.46,15,3,남자헬스복,1850.0
160,남자후드집업,1350.0,8900.0,8.2,56.8,0.63,0.69,15,3,남자후드집업,2610.0
161,츄리닝세트,2230.0,21800.0,22.9,328.5,1.07,1.63,15,3,츄리닝세트,1450.0
162,커플후리스,1090.0,6480.0,9.3,106.8,0.87,1.74,15,3,커플후리스,1770.0
163,집업,2580.0,12600.0,5.4,17.1,0.22,0.15,15,3,집업,2010.0
164,롱패딩브랜드,1100.0,6070.0,5.2,26.2,0.5,0.46,15,3,롱패딩브랜드,1050.0
165,집업니트,2450.0,20500.0,7.1,40.9,0.31,0.22,15,3,집업니트,1020.0
166,청자켓코디,1270.0,20700.0,1.3,5.7,0.12,0.03,15,3,청자켓코디,910.0
167,카라니트,1730.0,16400.0,3.4,6.7,0.21,0.05,15,3,카라니트,1090.0
168,폴라티,3160.0,21800.0,12.9,76.8,0.42,0.38,15,3,폴라티,910.0
169,벨벳원피스,1310.0,16000.0,8.3,41.2,0.66,0.28,15,3,벨벳원피스,1590.0
170,블레이져,1100.0,5020.0,1.2,0.7,0.12,0.02,15,3,블레이져,1280.0
171,숄가디건,1010.0,12000.0,3.1,20.5,0.32,0.19,15,3,숄가디건,1510.0
172,앙고라니트,2250.0,24000.0,5.0,48.8,0.24,0.23,15,3,앙고라니트,1370.0
173,오프숄더니트,1350.0,15400.0,5.1,16.3,0.4,0.12,15,3,오프숄더니트,1060.0
174,가디건코디,1070.0,13700.0,2.9,33.8,0.29,0.27,15,3,가디건코디,8430.0
175,골지니트,1330.0,13100.0,3.4,20.7,0.27,0.17,15,3,골지니트,1560.0
176,니트스커트,2640.0,24100.0,4.5,19.8,0.18,0.09,15,3,니트스커트,1030.0
177,라이더자켓,2760.0,23900.0,7.9,12.9,0.31,0.06,15,3,라이더자켓,1420.0
178,반폴라,1410.0,9180.0,3.6,17.3,0.27,0.21,15,3,반폴라,1320.0
179,반폴라니트,2190.0,13300.0,7.2,53.8,0.35,0.44,15,3,반폴라니트,1130.0
180,필라테스복,4180.0,45000.0,159.3,2077.7,3.91,4.88,15,3,필라테스복,4800.0
181,요가복,8160.0,77800.0,290.5,3970.6,3.67,5.44,15,3,요가복,4700.0
182,커플니트,1160.0,9060.0,7.4,147.6,0.66,1.74,15,3,커플니트,1230.0
183,운동화,25100.0,176300.0,139.8,1470.6,0.59,0.91,15,3,운동화,6870.0
184,운동복,5440.0,32500.0,87.3,1368.8,1.69,4.51,15,3,운동복,5140.0
185,스포츠브랜드,2520.0,10500.0,11.1,86.9,0.46,0.89,15,3,스포츠브랜드,2090.0
186,후드니트,1130.0,15300.0,3.9,26.1,0.36,0.19,15,3,후드니트,1100.0
187,츄리닝,3400.0,18900.0,13.2,164.0,0.41,0.95,15,3,츄리닝,1600.0
188,후드원피스,1470.0,19700.0,3.7,91.8,0.26,0.51,15,3,후드원피스,1690.0
189,블레이저,5540.0,36900.0,2.9,3.7,0.06,0.02,15,3,블레이저,8860.0
190,남자운동복,1460.0,5680.0,21.1,168.3,1.53,3.21,15,3,남자운동복,2100.0
191,윈드브레이커,7080.0,36500.0,5.3,108.3,0.08,0.32,15,3,윈드브레이커,2050.0
192,트레이닝복세트,4730.0,28000.0,19.8,237.0,0.44,0.92,15,3,트레이닝복세트,3470.0
193,남자니트,8820.0,56400.0,62.4,350.5,0.75,0.67,15,3,남자니트,1550.0
