,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
2027,헹어,80.0,360.0,0.0,0.0,0.0,0.0,3,3
2028,유아용옷걸이,30.0,200.0,0.0,0.7,0.0,0.34,3,3
2029,남성용옷걸이,10.0,40.0,0.0,0.0,0.0,0.0,15,3
2030,업소용옷걸이,30.0,90.0,0.3,0.3,0.99,0.29,15,3
2031,옷걸이추천,610.0,3730.0,5.1,64.4,0.88,1.87,15,3
2032,아이옷걸이,60.0,380.0,0.0,0.0,0.0,0.0,3,3
2033,이쁜옷걸이,10.0,90.0,0.0,0.6,0.0,0.69,15,3
2034,조립식행거,610.0,2630.0,5.5,56.9,0.94,2.31,15,3
2035,작은방행거,40.0,160.0,0.1,2.0,0.33,1.3,15,3
2036,시스템행거부품,10.0,110.0,0.3,3.6,1.76,3.23,4,1
2037,사무실행거,730.0,330.0,5.6,1.9,0.8,0.6,15,3
2038,수납형행거,50.0,450.0,0.5,5.3,0.92,1.23,15,3
2039,3단행거,200.0,1610.0,0.7,37.9,0.37,2.49,15,3
2040,드레스행거,60.0,380.0,1.7,13.3,2.94,3.75,15,3
2041,바지집게,140.0,960.0,0.5,10.6,0.34,1.18,15,3
2042,대구행거,10.0,60.0,0.0,0.3,0.0,0.57,6,2
2043,아기옷행거,160.0,3730.0,1.3,52.3,0.82,1.5,15,3
2044,2단옷걸이행거,20.0,70.0,0.3,1.2,1.45,1.55,15,3
2045,고정옷걸이,20.0,50.0,0.0,0.3,0.0,0.61,3,3
2046,고정형옷걸이,10.0,30.0,0.0,0.3,0.0,1.06,3,3
2047,고정형행거,40.0,140.0,0.3,5.5,0.67,4.11,15,3
2048,스탠드형옷걸이,290.0,730.0,0.8,11.0,0.29,1.58,15,3
2049,A형행거,40.0,80.0,0.0,0.0,0.0,0.0,3,3
2050,1인행거,70.0,240.0,0.2,0.3,0.24,0.15,13,2
2051,행거수납,80.0,380.0,0.1,1.8,0.09,0.5,15,3
2052,천정행거,60.0,280.0,0.6,5.3,0.9,2.02,15,3
2053,드레스룸수납함,80.0,460.0,0.9,2.6,1.14,0.6,15,3
