,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
198,고급거실실내화,10.0,400.0,0.5,9.5,4.17,2.51,15,3
199,목욕탕슬리퍼,20.0,250.0,0.2,5.3,1.1,2.31,14,3
200,면거실화,30.0,250.0,0.1,5.3,0.21,2.24,15,3
201,라탄실내화,30.0,250.0,0.1,3.1,0.4,1.32,14,3
202,슬리퍼꽂이,50.0,500.0,0.4,12.0,0.77,2.59,15,3
203,슬리퍼거치대,420.0,2640.0,0.5,13.1,0.12,0.53,15,3
204,남자거실화,40.0,320.0,0.3,6.0,0.93,1.92,15,3
205,폼폼실내화,10.0,20.0,0.0,0.0,0.0,0.0,3,3
206,의료용슬리퍼,10.0,130.0,0.3,0.3,1.67,0.26,4,1
207,집안슬리퍼,60.0,240.0,0.3,0.7,0.54,0.29,15,3
208,실내지압슬리퍼,60.0,660.0,0.2,10.8,0.35,1.8,15,3
209,어린이욕실화,60.0,690.0,0.1,10.6,0.11,1.67,15,3
210,베란다슬리퍼,70.0,430.0,0.1,1.0,0.18,0.26,15,3
211,방수안전화,410.0,4200.0,2.7,25.0,0.68,0.62,15,3
212,할머니슬리퍼,70.0,450.0,0.2,3.8,0.37,0.92,13,2
213,수입안전화,280.0,1890.0,9.6,141.3,3.51,8.09,15,3
214,퍼실내화,160.0,810.0,1.8,8.0,1.13,1.06,15,3
215,슬리퍼제작,280.0,310.0,19.9,31.2,7.45,10.42,15,3
216,사무실용실내화,20.0,50.0,0.3,2.0,1.34,3.93,15,3
217,주방용안전화,10.0,60.0,0.0,0.0,0.0,0.0,15,3
218,실내용운동화,120.0,590.0,0.4,7.8,0.33,1.39,15,3
219,쿠션슬리퍼,660.0,3970.0,2.3,58.8,0.38,1.6,15,3
220,가정용실내화,90.0,280.0,0.5,2.2,0.55,0.88,15,3
221,겨울털실내화,500.0,1600.0,3.5,10.4,0.74,0.72,15,3
222,주방신발,270.0,3340.0,2.7,54.8,1.09,1.78,15,3
223,미끄럼방지신발,680.0,3070.0,4.2,38.8,0.64,1.32,15,3
224,주방조리화,90.0,1030.0,0.3,36.5,0.38,3.76,15,3
225,조리화파는곳,10.0,180.0,0.1,3.1,0.52,1.72,15,3
226,굽높은실내화,30.0,160.0,0.0,0.0,0.0,0.0,3,3
227,미끄럼방지조리화,10.0,60.0,0.5,0.9,3.34,1.53,15,3
228,키높이실내화,110.0,1010.0,0.5,11.4,0.44,1.22,15,3
229,주방안전화,230.0,1720.0,1.1,36.5,0.48,2.31,15,3
230,주방용신발,50.0,510.0,0.3,19.7,0.69,4.08,15,3
231,EVA실내화,430.0,2310.0,2.1,36.0,0.53,1.66,15,3
232,중학생슬리퍼,30.0,350.0,0.1,5.0,0.24,1.45,15,3
233,고등학생슬리퍼,20.0,270.0,0.1,0.8,0.32,0.34,15,3
234,두꺼운슬리퍼,40.0,190.0,0.0,0.0,0.0,0.0,3,3
235,학생슬리퍼,80.0,660.0,0.5,4.0,0.56,0.63,15,3
236,작업안전화,60.0,260.0,0.9,9.0,1.45,3.63,15,3
237,여성안전화,210.0,1070.0,1.1,20.0,0.55,2.0,15,3
238,교사슬리퍼,100.0,740.0,0.3,8.3,0.3,1.2,15,3
239,룸슬리퍼,190.0,790.0,1.1,11.9,0.58,1.6,15,3
240,여성털실내화,100.0,330.0,1.7,0.3,1.67,0.11,15,3
241,방한실내화,1050.0,3960.0,4.7,29.7,0.46,0.79,15,3
242,여자실내화,20.0,160.0,0.5,2.4,1.95,1.48,15,3
243,위생화,350.0,590.0,1.8,11.8,0.53,2.13,15,3
244,스테비,40.0,130.0,0.0,0.0,0.0,0.0,3,3
245,슬리퍼주문제작,70.0,100.0,4.3,5.3,5.62,5.9,15,3
246,예쁜실내화,50.0,450.0,1.1,10.3,1.84,2.41,15,3
247,털슬리퍼제작,10.0,10.0,1.9,0.8,15.79,8.0,3,1
248,가정용슬리퍼,120.0,380.0,1.1,4.8,0.97,1.37,15,3
249,의사슬리퍼,90.0,400.0,0.6,15.4,0.69,4.26,15,3
250,편한실내화,40.0,120.0,0.5,3.3,1.07,2.81,15,3
251,빅사이즈실내화,70.0,450.0,0.1,8.0,0.2,1.82,15,3
252,실내화가방,270.0,3060.0,0.8,16.8,0.31,0.58,15,3
253,주방화,1280.0,7260.0,8.0,153.5,0.66,2.26,15,3
254,미끄럼방지주방화,50.0,250.0,0.3,3.0,0.51,1.27,15,3
255,통굽실내화,80.0,380.0,0.7,0.0,0.9,0.0,15,3
256,폭신한실내화,20.0,270.0,0.2,6.0,0.87,2.5,15,3
257,발편한실내화,90.0,650.0,0.9,14.6,0.93,2.42,15,3
258,가족실내화,10.0,110.0,0.2,0.9,1.05,0.87,6,2
259,인체공학슬리퍼,20.0,80.0,0.0,0.3,0.0,0.4,3,3
260,남자슬리퍼브랜드,60.0,390.0,0.5,4.2,0.82,1.13,15,3
261,여성사무실실내화,30.0,110.0,0.3,0.6,0.93,0.56,15,3
262,집슬리퍼,180.0,930.0,0.8,12.9,0.46,1.47,15,3
263,회사슬리퍼,910.0,2340.0,5.7,21.1,0.66,0.97,15,3
264,쿠션좋은슬리퍼,100.0,600.0,0.8,22.6,0.88,4.03,15,3
265,푹신한슬리퍼,920.0,5360.0,5.1,37.5,0.6,0.76,15,3
266,어린이거실화,30.0,520.0,0.1,6.3,0.38,1.29,15,3
267,겨울용실내화,220.0,480.0,0.8,6.3,0.38,1.38,15,3
268,플랫폼슬리퍼,50.0,420.0,0.1,0.6,0.13,0.15,15,3
269,층간소음방지실내화,80.0,670.0,0.7,9.6,0.91,1.52,15,3
270,다이소실내슬리퍼,150.0,840.0,0.2,1.3,0.16,0.17,5,2
271,사무실쿠션슬리퍼,30.0,80.0,0.0,0.0,0.0,0.0,3,3
272,베어파우털슬리퍼,1270.0,11600.0,6.3,137.6,0.52,1.24,15,3
273,키높이털신,50.0,400.0,0.3,1.7,0.51,0.42,4,1
274,조리원슬리퍼,210.0,2610.0,0.1,14.3,0.05,0.59,12,2
275,블로퍼슬리퍼,30.0,170.0,0.0,0.3,0.0,0.21,3,3
276,위생신발,10.0,30.0,0.4,0.3,2.41,0.71,11,2
277,식당슬리퍼,20.0,300.0,0.0,1.3,0.0,0.5,3,3
