,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
4761,센추리21,1180.0,2450.0,0.5,0.7,0.05,0.03,14,3
4762,겨울여자코트,90.0,1080.0,2.1,10.9,2.18,1.04,15,3
4763,겨울남자코트,110.0,340.0,1.1,1.0,0.92,0.29,15,3
4764,NUVO,90.0,370.0,0.1,4.5,0.08,1.29,15,3
4765,누보10,20.0,80.0,2.0,3.5,7.15,4.44,6,2
4766,발마칸코트,6470.0,34200.0,12.1,7.7,0.2,0.03,15,3
4767,피코트,1820.0,8060.0,1.2,0.3,0.07,0.01,13,2
4768,50대여성아우터,10.0,100.0,0.3,6.3,2.34,7.27,14,3
4769,남성양털조끼,50.0,350.0,0.6,1.7,1.18,0.51,15,3
4770,남자싱글코트,530.0,2010.0,1.8,6.7,0.36,0.35,15,3
4771,남자롱코트,2310.0,11000.0,17.7,117.6,0.81,1.12,15,3
4772,해링턴자켓,740.0,3430.0,2.2,19.8,0.31,0.62,12,2
4773,워크자켓,560.0,2100.0,0.0,0.7,0.0,0.04,3,3
4774,워크재킷,10.0,30.0,0.0,0.0,0.0,0.0,3,3
4775,리넨자켓,10.0,20.0,0.0,0.0,0.0,0.0,14,3
4776,유니클로워크자켓,70.0,320.0,0.0,0.0,0.0,0.0,2,2
4777,유니클로코치자켓,20.0,40.0,0.0,0.0,0.0,0.0,3,3
4778,유니클로피코트,180.0,720.0,0.0,0.8,0.0,0.12,2,2
4779,여성루즈핏코트,20.0,210.0,0.0,1.7,0.0,0.81,3,3
4780,플리스베스트,490.0,2420.0,1.8,17.9,0.39,0.79,15,3
4781,노카라핸드메이드코트,340.0,2320.0,1.2,3.3,0.36,0.15,15,3
4782,핸드메이드숏코트,2450.0,27400.0,16.0,99.1,0.68,0.39,15,3
4783,핸드메이드울코트,250.0,2080.0,2.9,17.2,1.2,0.86,15,3
4784,핸드메이드자켓,1850.0,19800.0,9.3,171.1,0.53,0.91,15,3
4785,핸드메이드하프코트,920.0,7540.0,7.1,95.5,0.82,1.32,15,3
