,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
114,방한마스크,1480.0,7130.0,5.3,92.9,0.38,1.35,15,3
115,마스크구매,20.0,130.0,0.3,7.3,1.03,5.6,15,3
116,자외선차단마스크,1260.0,6340.0,4.5,203.1,0.41,3.56,15,3
117,대형일회용마스크,20.0,130.0,0.2,1.0,0.69,0.8,15,3
118,마스크수출,50.0,50.0,0.5,0.6,0.9,1.2,15,3
119,K94마스크,180.0,1090.0,1.2,33.9,0.69,3.27,15,3
120,국내산마스크,10.0,60.0,0.0,3.3,0.0,5.08,15,3
121,3D마스크,190.0,910.0,0.9,10.3,0.48,1.22,15,3
122,안면마스크,870.0,4910.0,1.5,34.0,0.19,0.73,15,3
123,크리넥스마스크,2710.0,24300.0,5.2,210.8,0.21,0.92,15,3
124,유한킴벌리마스크KF94,10.0,20.0,0.0,0.0,0.0,0.0,13,2
125,80마스크,60.0,610.0,0.7,12.8,1.25,2.21,15,3
126,유아마스크,1710.0,21300.0,5.9,218.5,0.37,1.08,15,3
127,헬로키티마스크,480.0,6250.0,0.6,69.0,0.14,1.22,15,3
128,흰색마스크,40.0,330.0,0.0,6.0,0.0,1.89,15,3
129,저렴한마스크,30.0,90.0,0.3,1.5,0.87,1.79,15,3
130,마스크개별포장,70.0,200.0,0.6,3.5,0.86,1.84,15,3
131,마스크쇼핑,90.0,2620.0,0.0,1.0,0.0,0.05,15,3
132,유한킴벌리마스크,690.0,3200.0,1.5,33.5,0.23,1.12,15,3
133,방진마스크,5230.0,11300.0,5.6,89.5,0.12,0.84,15,3
134,일회용마스크개별포장,40.0,190.0,0.3,4.3,0.75,2.35,15,3
135,KF80,640.0,2020.0,0.9,19.0,0.15,1.0,15,3
136,마스크종류,430.0,1730.0,0.7,26.5,0.17,1.64,15,3
137,KF94검정마스크,20.0,100.0,0.1,2.8,0.34,2.67,15,3
138,블랙마스크,300.0,5450.0,1.4,63.6,0.49,1.34,15,3
139,KN95마스크,20.0,90.0,0.0,1.8,0.0,1.83,15,3
140,마스크파는곳,20.0,320.0,0.0,3.7,0.0,1.21,15,3
141,빨아쓰는마스크,1800.0,8950.0,10.0,246.4,0.6,2.94,15,3
142,입체마스크,60.0,440.0,0.2,5.1,0.34,1.2,15,3
143,위생마스크,110.0,370.0,0.9,10.3,0.91,3.01,15,3
144,94마스크,1520.0,9080.0,7.7,206.2,0.53,2.38,15,3
145,마스크구입,30.0,70.0,0.9,6.5,3.22,8.79,15,3
146,인기마스크,10.0,190.0,0.3,8.5,1.86,4.95,15,3
147,방역마스크,140.0,380.0,0.7,5.0,0.49,1.39,15,3
148,개별포장일회용마스크,20.0,80.0,0.0,0.0,0.0,0.0,14,3
149,다온마스크,110.0,740.0,1.4,12.8,1.2,1.77,12,2
150,마스크사이즈,70.0,540.0,0.0,1.8,0.0,0.35,15,3
151,마스크필터,230.0,850.0,1.3,9.0,0.6,1.12,15,3
152,친환경마스크,140.0,450.0,1.3,16.0,0.98,3.81,15,3
153,비말,790.0,2400.0,0.0,1.0,0.0,0.05,3,3
154,마스크비교,20.0,130.0,0.0,0.0,0.0,0.0,3,3
155,KF94소형,110.0,620.0,1.0,7.5,0.97,1.25,15,3
156,마스크판매,20.0,100.0,0.5,3.0,1.91,3.2,15,3
157,개별포장마스크,110.0,430.0,2.3,6.3,2.19,1.53,15,3
158,구리마스크,320.0,1330.0,2.9,43.3,0.94,3.51,15,3
159,마스크귀,110.0,500.0,0.1,0.0,0.07,0.0,15,3
160,크리넥스일회용마스크,10.0,160.0,0.0,7.8,0.0,5.1,15,3
161,나노필터마스크,20.0,40.0,0.3,0.0,1.39,0.0,3,3
162,공공기관마스크,10.0,10.0,0.1,0.0,0.84,0.0,15,3
163,검은마스크,150.0,1400.0,0.7,10.0,0.5,0.77,15,3
164,N95마스크,500.0,1350.0,2.1,31.3,0.43,2.43,15,3
165,특대마스크,130.0,750.0,2.3,23.3,1.8,3.29,15,3
166,보건마스크,70.0,410.0,0.1,4.0,0.1,1.05,15,3
167,필터교체형마스크,40.0,110.0,0.1,2.0,0.32,1.86,15,3
168,마스크생산,10.0,20.0,0.0,0.0,0.0,0.0,13,2
169,KF94대형,110.0,570.0,0.1,4.1,0.07,0.74,15,3
170,중국산마스크,20.0,100.0,0.0,0.0,0.0,0.0,3,3
171,KF-80,30.0,20.0,0.0,0.0,0.0,0.0,15,3
172,K94,40.0,130.0,0.0,0.0,0.0,0.0,14,3
173,미세먼지마스크,180.0,600.0,0.1,1.4,0.08,0.24,15,3
174,운동마스크,510.0,2640.0,1.5,69.3,0.33,2.77,15,3
