,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
4596,야외용접이식테이블,50.0,390.0,0.9,10.7,1.74,2.86,15,3
4597,감성캠핑테이블,70.0,390.0,0.7,3.9,0.98,1.05,15,3
4598,경량야전침대,1050.0,5600.0,1.1,17.3,0.12,0.34,15,3
4599,야상침대,110.0,500.0,0.1,0.7,0.07,0.15,15,3
4600,홈캠핑용품,10.0,20.0,0.0,0.0,0.0,0.0,3,3
4601,베란다홈캠핑,80.0,480.0,0.0,0.0,0.0,0.0,3,3
4602,홈캠핑인테리어,130.0,560.0,0.1,3.9,0.06,0.73,15,3
4603,홈페브릭,10.0,10.0,0.0,0.0,0.0,0.0,3,3
4604,우드테이블,690.0,2930.0,6.4,30.7,0.97,1.13,15,3
4605,캠핑식탁,270.0,2430.0,0.3,22.8,0.14,0.99,15,3
4606,캠핑폴딩테이블,250.0,1590.0,0.5,4.9,0.23,0.34,15,3
4607,캠핑탁자,200.0,1150.0,0.4,27.0,0.22,2.57,15,3
4608,플라스틱야외테이블세트,20.0,190.0,0.1,4.0,0.35,2.25,14,3
4609,접이식피크닉테이블,80.0,510.0,0.0,0.3,0.0,0.08,3,3
4610,야외용접이식의자,20.0,100.0,0.5,4.5,2.81,4.7,15,3
4611,휴대용접이식테이블,80.0,340.0,0.4,7.0,0.52,2.23,15,3
4612,캠핑용품테이블,70.0,410.0,0.6,5.8,0.83,1.55,15,3
4613,캠핑좌식테이블,870.0,5990.0,0.3,38.8,0.04,0.69,15,3
4614,캠핑소품,340.0,1240.0,1.5,7.5,0.46,0.66,15,3
4615,캠핑인테리어,170.0,680.0,0.3,3.3,0.2,0.51,15,3
4616,겨울캠핑요리,260.0,1080.0,0.8,0.8,0.32,0.08,15,3
4617,캠핑세트,360.0,1260.0,1.5,32.6,0.45,2.77,15,3
4618,초보캠핑,820.0,3560.0,0.9,24.0,0.12,0.74,15,3
4619,겨울캠핑,2670.0,8390.0,2.6,1.3,0.1,0.02,14,3
4620,감성캠핑소품,70.0,880.0,0.9,22.0,1.16,2.7,15,3
4621,캠핑미니테이블,690.0,6700.0,1.1,25.8,0.18,0.42,15,3
4622,감성테이블,90.0,420.0,0.3,3.3,0.3,0.84,15,3
4623,캠핑키친테이블,660.0,5610.0,0.3,46.1,0.05,0.89,15,3
4624,캠핑원목테이블,110.0,2140.0,0.0,2.1,0.0,0.1,15,3
4625,피크닉용품,100.0,510.0,0.5,11.2,0.49,2.46,15,3
4626,캠핑야전침대,630.0,2880.0,0.7,16.3,0.12,0.62,15,3
4627,캠핑폴딩체어,390.0,3160.0,0.1,0.3,0.02,0.02,15,3
4628,폴딩체어,810.0,3710.0,0.4,14.2,0.06,0.42,15,3
4629,캠핑의자테이블,260.0,1620.0,0.4,11.0,0.16,0.74,15,3
4630,야외행사테이블,10.0,30.0,0.0,1.5,0.0,4.32,15,3
4631,행사용원형테이블,20.0,30.0,0.0,0.0,0.0,0.0,3,3
4632,캠핑박스테이블,470.0,1750.0,0.3,6.9,0.08,0.43,15,3
