,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
4267,6살여자아이선물,120.0,770.0,0.3,5.2,0.29,0.74,15,3
4268,7살여아선물,110.0,910.0,0.5,2.3,0.49,0.28,15,3
4269,7살여자아이선물,90.0,740.0,0.1,5.5,0.08,0.79,15,3
4270,남자아기100일선물,10.0,20.0,0.0,0.0,0.0,0.0,3,3
4271,남자아기우주복,10.0,50.0,0.0,0.3,0.0,0.65,5,2
4272,딸출산선물,30.0,150.0,0.2,0.9,0.72,0.62,10,2
4273,베이비패딩,220.0,3070.0,1.1,11.2,0.49,0.39,15,3
4274,아기기저귀교환대,10.0,50.0,0.1,0.0,1.12,0.0,15,3
4275,아기선물세트,10.0,80.0,0.4,0.0,2.47,0.0,5,2
4276,아기헬멧,260.0,4390.0,0.6,37.9,0.25,0.93,15,3
4277,아들출산선물,10.0,80.0,0.0,0.7,0.0,0.83,3,3
4278,애기쇼핑몰,10.0,70.0,0.2,2.5,1.43,3.4,15,3
4279,애기용품점,20.0,600.0,0.3,1.0,1.15,0.18,3,3
4280,아이용품,60.0,150.0,0.5,0.0,0.94,0.0,15,3
4281,애착이불,170.0,1500.0,0.3,7.6,0.16,0.54,15,3
4282,아기명품,20.0,210.0,0.4,3.3,1.62,1.61,6,2
4283,보니아기침대가드,40.0,840.0,0.0,1.0,0.0,0.13,3,3
4284,PVC놀이방매트,90.0,800.0,0.5,11.8,0.62,1.55,15,3
4285,유아바닥매트,300.0,1870.0,4.0,41.3,1.39,2.34,15,3
4286,바닥방음,100.0,320.0,0.7,8.0,0.8,2.57,15,3
4287,어린이매트,350.0,1830.0,2.2,31.5,0.68,1.86,15,3
4288,알레르기이불,150.0,930.0,1.9,28.9,1.29,3.38,15,3
4289,거실아기매트,70.0,500.0,0.5,10.8,0.67,2.24,15,3
4290,남자아기돌선물,170.0,1150.0,0.5,6.0,0.29,0.58,15,3
4291,물온도계,230.0,1470.0,0.5,13.7,0.21,1.01,15,3
4292,베이비브랜드,70.0,430.0,0.8,12.0,1.09,2.9,15,3
4293,초대형매트,10.0,100.0,0.0,0.3,0.0,0.34,3,3
4294,뽀로로매트,210.0,2260.0,0.3,29.1,0.17,1.38,15,3
4295,기저귀갈이대,2510.0,20500.0,5.5,79.5,0.23,0.42,15,3
4296,아가방매트,10.0,180.0,0.0,0.0,0.0,0.0,3,3
4297,애기돌선물,120.0,800.0,0.3,5.2,0.28,0.69,15,3
4298,신생아용품브랜드,10.0,30.0,0.1,0.7,1.15,2.09,7,2
4299,산모출산선물,260.0,1340.0,1.2,11.0,0.48,0.87,15,3
4300,놀이방매트,2210.0,18300.0,18.8,274.7,0.91,1.6,15,3
4301,친환경놀이방매트,20.0,90.0,0.8,1.0,3.2,1.12,15,3
4302,소파겸용침대,20.0,90.0,0.5,5.3,2.23,5.84,15,3
4303,아기벽쿠션,60.0,1530.0,0.4,15.7,0.67,1.09,15,3
4304,여자아이침대,90.0,1130.0,1.2,35.4,1.34,3.26,15,3
4305,아동용침대,20.0,120.0,0.2,3.8,0.8,3.38,15,3
4306,유아매트,1460.0,16700.0,7.6,165.9,0.55,1.04,15,3
4307,우주복패딩,520.0,10000.0,0.8,41.7,0.17,0.44,12,2
4308,여자아이돌선물,30.0,180.0,0.4,2.6,1.34,1.51,15,3
4309,아기침대가드쿠션,80.0,1790.0,0.1,14.3,0.09,0.86,15,3
4310,아동용품,50.0,90.0,0.9,1.8,1.91,2.06,15,3
4311,유모차블랭킷,40.0,1310.0,0.0,2.3,0.0,0.19,3,3
4312,여자아기선물,90.0,520.0,0.1,3.9,0.15,0.81,15,3
4313,1살아기선물,80.0,420.0,0.8,2.5,1.07,0.65,15,3
4314,기저귀교환대,2480.0,4520.0,13.2,2.2,0.55,0.06,15,3
4315,PVC거실매트,220.0,2280.0,3.1,42.6,1.53,1.98,15,3
4316,북유럽놀이매트,20.0,300.0,0.1,2.3,0.27,0.8,15,3
4317,침대깔개,160.0,910.0,0.4,8.8,0.26,1.05,15,3
4318,누비이불,320.0,2030.0,0.7,14.8,0.25,0.79,15,3
4319,신생아누빔패드,20.0,180.0,0.3,0.0,1.32,0.0,3,1
4320,아기누빔패드,60.0,970.0,0.0,0.0,0.0,0.0,3,3
4321,PVC놀이매트,10.0,140.0,0.1,2.3,1.37,1.67,15,3
4322,아기층간소음매트,10.0,130.0,0.0,0.9,0.0,0.67,15,3
4323,아이매트시공,10.0,50.0,0.2,2.8,1.25,4.92,15,3
4324,아기쇼핑몰,90.0,910.0,5.5,62.8,6.22,7.13,15,3
4325,조카돌선물,360.0,2050.0,0.5,3.7,0.14,0.19,15,3
